ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,0(3),-	,Tottenham,-	,91.3	,-	,6.13,2019/2020,EPL,-	,-	,-	,44	
-	,0(1),-	,Tottenham,-	,78.6	,-	,6.10,2019/2020,UCL,-	,-	,-	,11	
1.5	,4(2),-	,Argentina,-	,79.5	,1	,6.73,2019,ICA,0.2	,1	,1	,370	
2	,27(5),4	,Real Betis,-	,82.9	,5	,7.06,2018/2019,SLL,0.5	,9	,4	,2401	
2.3	,6(1),3	,Real Betis,-	,85.7	,4	,7.80,2018/2019,UEL,0.4	,5	,1	,562	
-	,0(1),-	,Paris Saint-G..,-	,100	,-	,6.38,2018/2019,FL1,-	,-	,-	,10	
0.7	,1(6),-	,Paris Saint-G..,-	,92.6	,1	,6.22,2017/2018,UCL,-	,-	,1	,151	
1.2	,18(15),-	,Paris Saint-G..,-	,90.3	,2	,7.06,2017/2018,FL1,0.2	,4	,3	,1769	
1.4	,7(2),-	,Rosario Centr..,1	,81.9	,2	,6.76,2016/2017,APD,0.7	,1	,2	,629	
0.8	,1(3),-	,Paris Saint-G..,-	,80.3	,1	,6.72,2016/2017,FL1,-	,-	,2	,81	
1.7	,10(4),2	,Rosario Centr..,-	,78.5	,3	,7.17,2016,APD,0.5	,2	,5	,996	
1.5,117,9,,1,85.2,19,6.98,Total / Average,,0.3,22,19,7024
0.3	,0(3),-	,Tottenham,-	,91.3	,-	,6.13,2019/2020,EPL,-	,-	,-	,44	
-	,0(1),-	,Tottenham,-	,78.6	,-	,6.10,2019/2020,UCL,-	,-	,-	,11	
1.5	,4(2),-	,Argentina,-	,79.5	,1	,6.73,2019,ICA,0.2	,1	,1	,370	
2	,27(5),4	,Real Betis,-	,82.9	,5	,7.06,2018/2019,SLL,0.5	,9	,4	,2401	
2.3	,6(1),3	,Real Betis,-	,85.7	,4	,7.80,2018/2019,UEL,0.4	,5	,1	,562	
-	,0(1),-	,Paris Saint-G..,-	,100	,-	,6.38,2018/2019,FL1,-	,-	,-	,10	
0.7	,1(6),-	,Paris Saint-G..,-	,92.6	,1	,6.22,2017/2018,UCL,-	,-	,1	,151	
1.2	,18(15),-	,Paris Saint-G..,-	,90.3	,2	,7.06,2017/2018,FL1,0.2	,4	,3	,1769	
1.4	,7(2),-	,Rosario Centr..,1	,81.9	,2	,6.76,2016/2017,APD,0.7	,1	,2	,629	
0.8	,1(3),-	,Paris Saint-G..,-	,80.3	,1	,6.72,2016/2017,FL1,-	,-	,2	,81	
1.7	,10(4),2	,Rosario Centr..,-	,78.5	,3	,7.17,2016,APD,0.5	,2	,5	,996	
1.5,117,9,,1,85.2,19,6.98,Total / Average,,0.3,22,19,7024
