ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,3,-	,Tottenham,-	,87.6	,-	,6.77,2019/2020,EPL,0.7	,-	,-	,242	
0.3	,4(2),-	,Tottenham,-	,83	,1	,6.95,2018/2019,EPL,0.5	,-	,3	,374	
-	,1,-	,Tottenham,-	,90.9	,1	,5.34,2018/2019,UCL,1	,-	,-	,61	
-	,0(1),-	,Tottenham,-	,93.8	,-	,6.24,2017/2018,UCL,-	,-	,-	,20	
-	,2(1),-	,Tottenham,-	,82.5	,-	,7.28,2017/2018,EPL,0.7	,-	,2	,188	
0.2,14,0,,0,85.2,2,6.82,Total / Average,,0.6,0,5,885
0.3	,3,-	,Tottenham,-	,87.6	,-	,6.77,2019/2020,EPL,0.7	,-	,-	,242	
0.3	,4(2),-	,Tottenham,-	,83	,1	,6.95,2018/2019,EPL,0.5	,-	,3	,374	
-	,1,-	,Tottenham,-	,90.9	,1	,5.34,2018/2019,UCL,1	,-	,-	,61	
-	,0(1),-	,Tottenham,-	,93.8	,-	,6.24,2017/2018,UCL,-	,-	,-	,20	
-	,2(1),-	,Tottenham,-	,82.5	,-	,7.28,2017/2018,EPL,0.7	,-	,2	,188	
0.2,14,0,,0,85.2,2,6.82,Total / Average,,0.6,0,5,885
