ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,2(1),-	,Tottenham,-	,82.4	,-	,6.40,2019/2020,EPL,-	,-	,-	,262	
-	,1,-	,Tottenham,-	,78.1	,-	,7.92,2019/2020,UCL,-	,-	,-	,90	
-	,3,-	,Tottenham,-	,64.2	,-	,7.14,2018/2019,EPL,-	,-	,-	,270	
-	,1,-	,Tottenham,-	,81.8	,-	,7.34,2018/2019,UCL,-	,-	,-	,90	
-	,1,-	,Tottenham,-	,77.3	,-	,7.52,2017/2018,EPL,1	,-	,-	,90	
-	,2,-	,Southampton,-	,57.4	,-	,6.59,2015/2016,EPL,-	,-	,-	,180	
-	,2,-	,Southampton,-	,55.3	,-	,6.21,2014/2015,EPL,0.5	,-	,-	,180	
-	,7(1),-	,Southampton,-	,62.9	,-	,6.19,2013/2014,EPL,0.3	,-	,-	,662	
-	,9,-	,Southampton,-	,53.3	,-	,6.58,2012/2013,EPL,0.3	,-	,-	,810	
0,30,0,,0,62.8,0,6.59,Total / Average,,0.2,0,0,2634
-	,2(1),-	,Tottenham,-	,82.4	,-	,6.40,2019/2020,EPL,-	,-	,-	,262	
-	,1,-	,Tottenham,-	,78.1	,-	,7.92,2019/2020,UCL,-	,-	,-	,90	
-	,3,-	,Tottenham,-	,64.2	,-	,7.14,2018/2019,EPL,-	,-	,-	,270	
-	,1,-	,Tottenham,-	,81.8	,-	,7.34,2018/2019,UCL,-	,-	,-	,90	
-	,1,-	,Tottenham,-	,77.3	,-	,7.52,2017/2018,EPL,1	,-	,-	,90	
-	,2,-	,Southampton,-	,57.4	,-	,6.59,2015/2016,EPL,-	,-	,-	,180	
-	,2,-	,Southampton,-	,55.3	,-	,6.21,2014/2015,EPL,0.5	,-	,-	,180	
-	,7(1),-	,Southampton,-	,62.9	,-	,6.19,2013/2014,EPL,0.3	,-	,-	,662	
-	,9,-	,Southampton,-	,53.3	,-	,6.58,2012/2013,EPL,0.3	,-	,-	,810	
0,30,0,,0,62.8,0,6.59,Total / Average,,0.2,0,0,2634
