ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.6	,6(1),1	,Tottenham,-	,85.4	,-	,7.25,2019/2020,EPL,0.6	,2	,2	,531	
3	,2(1),-	,Tottenham,-	,81.5	,-	,7.85,2019/2020,UCL,-	,3	,-	,175	
2.4	,23(8),4	,Tottenham,1	,85.6	,2	,7.10,2018/2019,EPL,0.1	,12	,6	,2049	
2.8	,11(1),-	,Tottenham,-	,84.1	,3	,6.99,2018/2019,UCL,0.3	,4	,1	,906	
3.6	,5(2),1	,Tottenham,-	,86	,-	,7.09,2017/2018,UCL,0.1	,4	,-	,426	
2	,27(10),3	,Tottenham,-	,85.2	,-	,6.99,2017/2018,EPL,0.1	,12	,6	,2312	
2.3	,6,1	,Tottenham,-	,79.2	,-	,6.43,2016/2017,UCL,0.3	,1	,-	,425	
2.4	,23(11),3	,Tottenham,-	,81.2	,2	,7.14,2016/2017,EPL,0.3	,14	,6	,2070	
0.5	,0(2),-	,Tottenham,-	,88.9	,-	,6.22,2016/2017,UEL,0.5	,-	,-	,54	
4.3	,3,-	,South Korea,-	,86.5	,1	,7.43,2018,WC,0.7	,2	,-	,270	
2	,1,-	,Bayer Leverku..,-	,76.5	,-	,6.19,2015/2016,GB,1	,-	,-	,64	
2.4	,6(1),1	,Tottenham,-	,79	,-	,7.19,2015/2016,UEL,0.3	,3	,4	,503	
1.4	,13(15),-	,Tottenham,-	,79.6	,-	,6.53,2015/2016,EPL,0.3	,4	,1	,1107	
2.1	,28(2),1	,Bayer Leverku..,-	,76.1	,4	,7.14,2014/2015,GB,1.1	,11	,2	,2292	
2	,7(1),2	,Bayer Leverku..,-	,83.1	,-	,7.10,2014/2015,UCL,1	,3	,-	,605	
1.8	,7(1),-	,Bayer Leverku..,-	,87.5	,1	,6.47,2013/2014,UCL,0.1	,-	,2	,511	
2.7	,29(2),3	,Bayer Leverku..,-	,80.3	,1	,7.39,2013/2014,GB,0.9	,10	,4	,2387	
1.7	,3,1	,South Korea,-	,76.5	,1	,7.22,2014,WC,1.3	,1	,-	,248	
2.4	,31(2),2	,Hamburger SV,-	,77.6	,4	,7.02,2012/2013,GB,1.6	,12	,2	,2703	
1.4	,11(16),1	,Hamburger SV,-	,78.4	,-	,6.59,2011/2012,GB,0.4	,5	,-	,1245	
1.5	,8(5),-	,Hamburger SV,-	,77.1	,1	,6.61,2010/2011,GB,0.3	,3	,-	,729	
2.2,331,24,,1,81.1,20,6.98,Total / Average,,0.5,106,36,21612
2.6	,6(1),1	,Tottenham,-	,85.4	,-	,7.25,2019/2020,EPL,0.6	,2	,2	,531	
3	,2(1),-	,Tottenham,-	,81.5	,-	,7.85,2019/2020,UCL,-	,3	,-	,175	
2.4	,23(8),4	,Tottenham,1	,85.6	,2	,7.10,2018/2019,EPL,0.1	,12	,6	,2049	
2.8	,11(1),-	,Tottenham,-	,84.1	,3	,6.99,2018/2019,UCL,0.3	,4	,1	,906	
3.6	,5(2),1	,Tottenham,-	,86	,-	,7.09,2017/2018,UCL,0.1	,4	,-	,426	
2	,27(10),3	,Tottenham,-	,85.2	,-	,6.99,2017/2018,EPL,0.1	,12	,6	,2312	
2.3	,6,1	,Tottenham,-	,79.2	,-	,6.43,2016/2017,UCL,0.3	,1	,-	,425	
2.4	,23(11),3	,Tottenham,-	,81.2	,2	,7.14,2016/2017,EPL,0.3	,14	,6	,2070	
0.5	,0(2),-	,Tottenham,-	,88.9	,-	,6.22,2016/2017,UEL,0.5	,-	,-	,54	
4.3	,3,-	,South Korea,-	,86.5	,1	,7.43,2018,WC,0.7	,2	,-	,270	
2	,1,-	,Bayer Leverku..,-	,76.5	,-	,6.19,2015/2016,GB,1	,-	,-	,64	
2.4	,6(1),1	,Tottenham,-	,79	,-	,7.19,2015/2016,UEL,0.3	,3	,4	,503	
1.4	,13(15),-	,Tottenham,-	,79.6	,-	,6.53,2015/2016,EPL,0.3	,4	,1	,1107	
2.1	,28(2),1	,Bayer Leverku..,-	,76.1	,4	,7.14,2014/2015,GB,1.1	,11	,2	,2292	
2	,7(1),2	,Bayer Leverku..,-	,83.1	,-	,7.10,2014/2015,UCL,1	,3	,-	,605	
1.8	,7(1),-	,Bayer Leverku..,-	,87.5	,1	,6.47,2013/2014,UCL,0.1	,-	,2	,511	
2.7	,29(2),3	,Bayer Leverku..,-	,80.3	,1	,7.39,2013/2014,GB,0.9	,10	,4	,2387	
1.7	,3,1	,South Korea,-	,76.5	,1	,7.22,2014,WC,1.3	,1	,-	,248	
2.4	,31(2),2	,Hamburger SV,-	,77.6	,4	,7.02,2012/2013,GB,1.6	,12	,2	,2703	
1.4	,11(16),1	,Hamburger SV,-	,78.4	,-	,6.59,2011/2012,GB,0.4	,5	,-	,1245	
1.5	,8(5),-	,Hamburger SV,-	,77.1	,1	,6.61,2010/2011,GB,0.3	,3	,-	,729	
2.2,331,24,,1,81.1,20,6.98,Total / Average,,0.5,106,36,21612
