ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,0(2),-	,Watford,-	,100	,-	,5.98,2019/2020,EPL,-	,-	,-	,35	
1	,9(21),-	,Watford,-	,71.3	,4	,6.32,2018/2019,EPL,1	,1	,1	,1039	
0.9	,7(2),1	,Malaga,-	,59.4	,-	,6.66,2017/2018,SLL,0.3	,-	,1	,496	
0.7	,2(17),-	,Watford,-	,70.2	,2	,6.39,2016/2017,EPL,0.3	,1	,1	,506	
1.9	,28(2),1	,Granada,1	,64.9	,10	,6.72,2015/2016,SLL,0.6	,6	,2	,2434	
0.7	,9(10),-	,Granada,-	,61.3	,1	,6.24,2014/2015,SLL,0.8	,1	,1	,921	
1.1,109,2,,1,67.2,17,6.45,Total / Average,,0.7,9,6,5431
0.5	,0(2),-	,Watford,-	,100	,-	,5.98,2019/2020,EPL,-	,-	,-	,35	
1	,9(21),-	,Watford,-	,71.3	,4	,6.32,2018/2019,EPL,1	,1	,1	,1039	
0.9	,7(2),1	,Malaga,-	,59.4	,-	,6.66,2017/2018,SLL,0.3	,-	,1	,496	
0.7	,2(17),-	,Watford,-	,70.2	,2	,6.39,2016/2017,EPL,0.3	,1	,1	,506	
1.9	,28(2),1	,Granada,1	,64.9	,10	,6.72,2015/2016,SLL,0.6	,6	,2	,2434	
0.7	,9(10),-	,Granada,-	,61.3	,1	,6.24,2014/2015,SLL,0.8	,1	,1	,921	
1.1,109,2,,1,67.2,17,6.45,Total / Average,,0.7,9,6,5431
