ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,8,-	,Watford,-	,76.8	,5	,6.48,2019/2020,EPL,2.4	,-	,-	,708	
0.6	,27(1),-	,Watford,1	,68.5	,12	,7.00,2018/2019,EPL,2.2	,3	,6	,2394	
0.6	,26(2),-	,Watford,-	,68.4	,7	,6.76,2017/2018,EPL,1.6	,-	,4	,2382	
0.8	,33,1	,Watford,-	,74.9	,14	,6.93,2016/2017,EPL,1.4	,2	,4	,2910	
1.2	,11,1	,Watford,-	,73.8	,2	,6.92,2015/2016,EPL,2.2	,-	,-	,946	
0.8	,23(1),1	,Roma,-	,82.8	,5	,7.27,2014/2015,ISA,1.4	,1	,1	,2054	
0.2	,3(2),-	,Roma,-	,84.8	,-	,6.46,2014/2015,UCL,0.8	,-	,-	,278	
0.8	,4,-	,Roma,-	,73.7	,1	,7.03,2014/2015,UEL,1.3	,-	,-	,360	
1.1	,6(1),-	,Olympiacos,-	,70.3	,-	,7.08,2013/2014,UCL,1.7	,-	,1	,552	
0.8	,4,-	,Greece,-	,82.7	,-	,7.19,2014,WC,1.8	,-	,-	,391	
1	,1(1),-	,Olympiacos,-	,80.2	,2	,6.49,2012/2013,UEL,1.5	,-	,-	,135	
0.2	,5,1	,Olympiacos,-	,70.8	,3	,7.29,2012/2013,UCL,1.8	,-	,2	,450	
-	,2(1),-	,Greece,-	,76.3	,2	,6.50,2012,UEC,1.3	,-	,-	,206	
2	,6,-	,Olympiacos,-	,70.4	,2	,6.85,2011/2012,UCL,1.3	,1	,-	,475	
0.8,168,4,,1,74,55,6.93,Total / Average,,1.7,7,18,14241
0.5	,8,-	,Watford,-	,76.8	,5	,6.48,2019/2020,EPL,2.4	,-	,-	,708	
0.6	,27(1),-	,Watford,1	,68.5	,12	,7.00,2018/2019,EPL,2.2	,3	,6	,2394	
0.6	,26(2),-	,Watford,-	,68.4	,7	,6.76,2017/2018,EPL,1.6	,-	,4	,2382	
0.8	,33,1	,Watford,-	,74.9	,14	,6.93,2016/2017,EPL,1.4	,2	,4	,2910	
1.2	,11,1	,Watford,-	,73.8	,2	,6.92,2015/2016,EPL,2.2	,-	,-	,946	
0.8	,23(1),1	,Roma,-	,82.8	,5	,7.27,2014/2015,ISA,1.4	,1	,1	,2054	
0.2	,3(2),-	,Roma,-	,84.8	,-	,6.46,2014/2015,UCL,0.8	,-	,-	,278	
0.8	,4,-	,Roma,-	,73.7	,1	,7.03,2014/2015,UEL,1.3	,-	,-	,360	
1.1	,6(1),-	,Olympiacos,-	,70.3	,-	,7.08,2013/2014,UCL,1.7	,-	,1	,552	
0.8	,4,-	,Greece,-	,82.7	,-	,7.19,2014,WC,1.8	,-	,-	,391	
1	,1(1),-	,Olympiacos,-	,80.2	,2	,6.49,2012/2013,UEL,1.5	,-	,-	,135	
0.2	,5,1	,Olympiacos,-	,70.8	,3	,7.29,2012/2013,UCL,1.8	,-	,2	,450	
-	,2(1),-	,Greece,-	,76.3	,2	,6.50,2012,UEC,1.3	,-	,-	,206	
2	,6,-	,Olympiacos,-	,70.4	,2	,6.85,2011/2012,UCL,1.3	,1	,-	,475	
0.8,168,4,,1,74,55,6.93,Total / Average,,1.7,7,18,14241
