ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,1(1),-	,Watford,-	,66	,-	,6.35,2019/2020,EPL,2	,-	,-	,109	
0.2	,3(6),-	,Watford,-	,75	,2	,6.07,2018/2019,EPL,0.4	,-	,-	,267	
-	,0(1),-	,England,-	,-	,-	,6.00,2018/2019,UNL,-	,-	,-	,1	
2	,5(1),-	,Watford,-	,72.5	,1	,6.86,2017/2018,EPL,1.8	,-	,-	,448	
0.1	,1(9),-	,Chelsea,-	,82.5	,2	,6.28,2016/2017,EPL,0.4	,-	,1	,159	
-	,0(5),-	,Napoli,-	,93	,-	,6.15,2015/2016,ISA,0.4	,-	,-	,29	
0.3	,2(1),-	,Napoli,-	,83.8	,1	,7.10,2015/2016,UEL,0.3	,1	,1	,176	
1.7	,3,-	,England U21,-	,77.6	,-	,7.08,2015,IEU,1.7	,-	,-	,270	
1.3	,15,-	,Reading,-	,74.5	,-	,6.89,2014/2015,EC,1.8	,1	,1	,1199	
0.3	,0(4),-	,Burnley,-	,87.9	,1	,5.89,2014/2015,EPL,-	,-	,-	,66	
0.9	,15(4),1	,Middlesbrough,-	,77.8	,3	,6.75,2013/2014,EC,1.7	,1	,-	,1286	
0.8	,7(5),-	,Nottingham Fo..,1	,80.7	,1	,6.43,2013/2014,EC,1.3	,2	,-	,598	
1	,2(1),-	,England U21,-	,82	,1	,6.61,2013,IEU,1.7	,-	,-	,193	
0.8,92,1,,1,78,12,6.55,Total / Average,,1.2,5,3,4801
0.5	,1(1),-	,Watford,-	,66	,-	,6.35,2019/2020,EPL,2	,-	,-	,109	
0.2	,3(6),-	,Watford,-	,75	,2	,6.07,2018/2019,EPL,0.4	,-	,-	,267	
-	,0(1),-	,England,-	,-	,-	,6.00,2018/2019,UNL,-	,-	,-	,1	
2	,5(1),-	,Watford,-	,72.5	,1	,6.86,2017/2018,EPL,1.8	,-	,-	,448	
0.1	,1(9),-	,Chelsea,-	,82.5	,2	,6.28,2016/2017,EPL,0.4	,-	,1	,159	
-	,0(5),-	,Napoli,-	,93	,-	,6.15,2015/2016,ISA,0.4	,-	,-	,29	
0.3	,2(1),-	,Napoli,-	,83.8	,1	,7.10,2015/2016,UEL,0.3	,1	,1	,176	
1.7	,3,-	,England U21,-	,77.6	,-	,7.08,2015,IEU,1.7	,-	,-	,270	
1.3	,15,-	,Reading,-	,74.5	,-	,6.89,2014/2015,EC,1.8	,1	,1	,1199	
0.3	,0(4),-	,Burnley,-	,87.9	,1	,5.89,2014/2015,EPL,-	,-	,-	,66	
0.9	,15(4),1	,Middlesbrough,-	,77.8	,3	,6.75,2013/2014,EC,1.7	,1	,-	,1286	
0.8	,7(5),-	,Nottingham Fo..,1	,80.7	,1	,6.43,2013/2014,EC,1.3	,2	,-	,598	
1	,2(1),-	,England U21,-	,82	,1	,6.61,2013,IEU,1.7	,-	,-	,193	
0.8,92,1,,1,78,12,6.55,Total / Average,,1.2,5,3,4801
