ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.5	,2,-	,Watford,-	,41.7	,-	,6.62,2019/2020,EPL,8	,-	,-	,180	
2	,28(4),4	,Watford,1	,60.7	,4	,7.11,2018/2019,EPL,6.5	,9	,5	,2548	
1.2	,20(9),1	,Watford,1	,56.6	,1	,6.61,2017/2018,EPL,4.7	,5	,2	,1842	
1.1	,31(6),2	,Watford,-	,58.5	,7	,6.84,2016/2017,EPL,5.2	,10	,4	,2942	
2.5	,36(2),3	,Watford,-	,60.9	,6	,7.28,2015/2016,EPL,6.2	,13	,7	,3293	
2.9	,37(5),3	,Watford,-	,61.7	,7	,7.48,2014/2015,EC,4.2	,21	,9	,3423	
2.5	,44,4	,Watford,-	,65.2	,2	,7.19,2013/2014,EC,3.5	,23	,5	,3960	
2.1,224,17,,2,60.8,27,7.11,Total / Average,,5,81,32,18188
1.5	,2,-	,Watford,-	,41.7	,-	,6.62,2019/2020,EPL,8	,-	,-	,180	
2	,28(4),4	,Watford,1	,60.7	,4	,7.11,2018/2019,EPL,6.5	,9	,5	,2548	
1.2	,20(9),1	,Watford,1	,56.6	,1	,6.61,2017/2018,EPL,4.7	,5	,2	,1842	
1.1	,31(6),2	,Watford,-	,58.5	,7	,6.84,2016/2017,EPL,5.2	,10	,4	,2942	
2.5	,36(2),3	,Watford,-	,60.9	,6	,7.28,2015/2016,EPL,6.2	,13	,7	,3293	
2.9	,37(5),3	,Watford,-	,61.7	,7	,7.48,2014/2015,EC,4.2	,21	,9	,3423	
2.5	,44,4	,Watford,-	,65.2	,2	,7.19,2013/2014,EC,3.5	,23	,5	,3960	
2.1,224,17,,2,60.8,27,7.11,Total / Average,,5,81,32,18188
