ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.9	,6(1),1	,Watford,-	,72.7	,-	,6.52,2019/2020,EPL,0.1	,1	,1	,430	
1	,31(1),-	,Watford,-	,76.4	,5	,6.72,2018/2019,EPL,0.7	,2	,4	,2436	
0.8	,11(4),1	,Watford,-	,79.7	,-	,6.74,2017/2018,EPL,0.2	,2	,3	,995	
0.9	,28(10),1	,Derby,-	,82.9	,10	,6.87,2016/2017,EC,0.6	,2	,3	,2664	
0.8	,6(2),2	,Derby,-	,84.3	,1	,7.05,2015/2016,EC,0.6	,-	,-	,474	
0.5	,1(1),-	,England U21,-	,90.5	,-	,6.40,2015,IEU,-	,-	,-	,82	
0.9	,37(5),-	,Derby,-	,85.8	,9	,6.87,2014/2015,EC,0.3	,2	,5	,3201	
0.9	,39(5),-	,Derby,-	,86.8	,5	,7.01,2013/2014,EC,0.3	,4	,6	,3341	
0.9,188,5,,0,82.9,30,6.86,Total / Average,,0.4,13,22,13623
0.9	,6(1),1	,Watford,-	,72.7	,-	,6.52,2019/2020,EPL,0.1	,1	,1	,430	
1	,31(1),-	,Watford,-	,76.4	,5	,6.72,2018/2019,EPL,0.7	,2	,4	,2436	
0.8	,11(4),1	,Watford,-	,79.7	,-	,6.74,2017/2018,EPL,0.2	,2	,3	,995	
0.9	,28(10),1	,Derby,-	,82.9	,10	,6.87,2016/2017,EC,0.6	,2	,3	,2664	
0.8	,6(2),2	,Derby,-	,84.3	,1	,7.05,2015/2016,EC,0.6	,-	,-	,474	
0.5	,1(1),-	,England U21,-	,90.5	,-	,6.40,2015,IEU,-	,-	,-	,82	
0.9	,37(5),-	,Derby,-	,85.8	,9	,6.87,2014/2015,EC,0.3	,2	,5	,3201	
0.9	,39(5),-	,Derby,-	,86.8	,5	,7.01,2013/2014,EC,0.3	,4	,6	,3341	
0.9,188,5,,0,82.9,30,6.86,Total / Average,,0.4,13,22,13623
