ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,8(1),-	,Wolverhampton..,-	,78.9	,-	,6.48,2019/2020,EPL,2.3	,-	,-	,682	
1	,1(1),-	,Wolverhampton..,-	,74.3	,-	,6.40,2019/2020,UEL,0.5	,-	,-	,104	
0.9	,17(2),2	,Wolverhampton..,-	,79.4	,1	,6.97,2018/2019,EPL,2.9	,2	,-	,1469	
0.5	,6,-	,Anderlecht,-	,89.6	,1	,6.10,2017/2018,UCL,0.8	,-	,-	,540	
1	,12,-	,Anderlecht,-	,85	,2	,7.25,2016/2017,UEL,2.7	,1	,-	,1110	
-	,1,-	,Belgium,-	,91.4	,1	,6.58,2018,WC,-	,-	,-	,90	
0.7	,6,-	,Anderlecht,-	,82.9	,1	,6.78,2015/2016,UEL,1.2	,-	,-	,547	
-	,1(3),-	,Anderlecht,-	,83	,-	,6.43,2014/2015,UCL,0.8	,-	,-	,140	
1	,2,-	,Anderlecht,-	,80	,-	,7.00,2014/2015,UEL,3	,-	,-	,171	
0.7,61,2,,0,82.1,6,6.79,Total / Average,,2.1,3,0,4853
0.4	,8(1),-	,Wolverhampton..,-	,78.9	,-	,6.48,2019/2020,EPL,2.3	,-	,-	,682	
1	,1(1),-	,Wolverhampton..,-	,74.3	,-	,6.40,2019/2020,UEL,0.5	,-	,-	,104	
0.9	,17(2),2	,Wolverhampton..,-	,79.4	,1	,6.97,2018/2019,EPL,2.9	,2	,-	,1469	
0.5	,6,-	,Anderlecht,-	,89.6	,1	,6.10,2017/2018,UCL,0.8	,-	,-	,540	
1	,12,-	,Anderlecht,-	,85	,2	,7.25,2016/2017,UEL,2.7	,1	,-	,1110	
-	,1,-	,Belgium,-	,91.4	,1	,6.58,2018,WC,-	,-	,-	,90	
0.7	,6,-	,Anderlecht,-	,82.9	,1	,6.78,2015/2016,UEL,1.2	,-	,-	,547	
-	,1(3),-	,Anderlecht,-	,83	,-	,6.43,2014/2015,UCL,0.8	,-	,-	,140	
1	,2,-	,Anderlecht,-	,80	,-	,7.00,2014/2015,UEL,3	,-	,-	,171	
0.7,61,2,,0,82.1,6,6.79,Total / Average,,2.1,3,0,4853
