ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,5(1),-	,Wolverhampton..,1	,74.7	,1	,6.38,2019/2020,EPL,2.7	,1	,-	,334	
2	,1,-	,Wolverhampton..,-	,79.2	,-	,7.10,2019/2020,UEL,2	,-	,-	,90	
0.5	,4,1	,Morocco,-	,81.3	,-	,7.62,2019,ACoN,5	,-	,-	,390	
0.6	,12(7),2	,Wolverhampton..,-	,77.1	,7	,6.93,2018/2019,EPL,3.2	,2	,-	,1145	
1	,37(5),3	,Wolverhampton..,-	,83.8	,11	,7.09,2017/2018,EC,1.7	,4	,-	,3398	
1	,19(5),-	,Wolverhampton..,-	,71.5	,10	,6.85,2016/2017,EC,2.5	,-	,1	,1728	
-	,2,-	,Morocco,-	,85.9	,-	,6.77,2018,WC,1.5	,-	,-	,180	
0.8	,35,-	,Angers,-	,79.7	,12	,7.13,2015/2016,FL1,2	,2	,2	,3107	
0.8,133,6,,1,79,41,7.01,Total / Average,,2.2,9,3,10372
0.5	,5(1),-	,Wolverhampton..,1	,74.7	,1	,6.38,2019/2020,EPL,2.7	,1	,-	,334	
2	,1,-	,Wolverhampton..,-	,79.2	,-	,7.10,2019/2020,UEL,2	,-	,-	,90	
0.5	,4,1	,Morocco,-	,81.3	,-	,7.62,2019,ACoN,5	,-	,-	,390	
0.6	,12(7),2	,Wolverhampton..,-	,77.1	,7	,6.93,2018/2019,EPL,3.2	,2	,-	,1145	
1	,37(5),3	,Wolverhampton..,-	,83.8	,11	,7.09,2017/2018,EC,1.7	,4	,-	,3398	
1	,19(5),-	,Wolverhampton..,-	,71.5	,10	,6.85,2016/2017,EC,2.5	,-	,1	,1728	
-	,2,-	,Morocco,-	,85.9	,-	,6.77,2018,WC,1.5	,-	,-	,180	
0.8	,35,-	,Angers,-	,79.7	,12	,7.13,2015/2016,FL1,2	,2	,2	,3107	
0.8,133,6,,1,79,41,7.01,Total / Average,,2.2,9,3,10372
