ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.1	,7(2),-	,Wolverhampton..,-	,71.8	,3	,6.50,2019/2020,EPL,0.6	,1	,-	,607	
2.5	,2,-	,Wolverhampton..,-	,83.2	,-	,7.03,2019/2020,UEL,1.5	,-	,1	,180	
2.1	,34(1),-	,Wolverhampton..,-	,81.2	,8	,6.86,2018/2019,EPL,0.9	,4	,3	,3009	
0.4	,4(1),-	,Portugal,-	,84.4	,2	,6.67,2018/2019,UNL,-	,-	,-	,361	
2.2	,42,3	,Wolverhampton..,1	,84.9	,11	,7.20,2017/2018,EC,0.9	,6	,1	,3622	
1.2	,6(7),1	,FC Porto,-	,86.2	,4	,6.75,2016/2017,PLN,0.4	,1	,-	,626	
0.3	,1(2),-	,FC Porto,-	,90.7	,-	,6.46,2016/2017,UCL,-	,-	,-	,103	
0.5	,2,-	,FC Porto,-	,74.5	,1	,6.16,2015/2016,UEL,-	,-	,-	,180	
1.5	,5(1),-	,FC Porto,-	,85.8	,-	,7.09,2015/2016,UCL,0.3	,-	,1	,471	
-	,0(1),-	,Portugal U21,-	,100	,-	,6.16,2015,IEU,-	,-	,-	,5	
-	,1(6),-	,FC Porto,-	,85.3	,-	,6.32,2014/2015,UCL,-	,-	,-	,174	
1.7,125,4,,1,83.2,29,6.89,Total / Average,,0.7,12,6,9338
1.1	,7(2),-	,Wolverhampton..,-	,71.8	,3	,6.50,2019/2020,EPL,0.6	,1	,-	,607	
2.5	,2,-	,Wolverhampton..,-	,83.2	,-	,7.03,2019/2020,UEL,1.5	,-	,1	,180	
2.1	,34(1),-	,Wolverhampton..,-	,81.2	,8	,6.86,2018/2019,EPL,0.9	,4	,3	,3009	
0.4	,4(1),-	,Portugal,-	,84.4	,2	,6.67,2018/2019,UNL,-	,-	,-	,361	
2.2	,42,3	,Wolverhampton..,1	,84.9	,11	,7.20,2017/2018,EC,0.9	,6	,1	,3622	
1.2	,6(7),1	,FC Porto,-	,86.2	,4	,6.75,2016/2017,PLN,0.4	,1	,-	,626	
0.3	,1(2),-	,FC Porto,-	,90.7	,-	,6.46,2016/2017,UCL,-	,-	,-	,103	
0.5	,2,-	,FC Porto,-	,74.5	,1	,6.16,2015/2016,UEL,-	,-	,-	,180	
1.5	,5(1),-	,FC Porto,-	,85.8	,-	,7.09,2015/2016,UCL,0.3	,-	,1	,471	
-	,0(1),-	,Portugal U21,-	,100	,-	,6.16,2015,IEU,-	,-	,-	,5	
-	,1(6),-	,FC Porto,-	,85.3	,-	,6.32,2014/2015,UCL,-	,-	,-	,174	
1.7,125,4,,1,83.2,29,6.89,Total / Average,,0.7,12,6,9338
