ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,8,2	,Wolverhampton..,1	,78.3	,-	,7.35,2019/2020,EPL,4.9	,-	,1	,720	
1.5	,2,1	,Wolverhampton..,-	,81.3	,1	,7.47,2019/2020,UEL,4.5	,1	,-	,180	
0.7	,36,2	,Wolverhampton..,1	,81	,2	,7.12,2018/2019,EPL,3.8	,4	,-	,3169	
0.5	,36,8	,Wolverhampton..,-	,83	,2	,7.52,2017/2018,EC,4.1	,3	,2	,3200	
0.3	,4,-	,FC Porto,-	,82.3	,-	,7.05,2016/2017,PLN,3	,-	,-	,360	
-	,3,-	,Braga,-	,91	,-	,7.13,2016/2017,PLN,1.3	,-	,-	,270	
-	,0(1),-	,FC Porto,-	,95.5	,-	,6.25,2016/2017,UCL,-	,-	,-	,45	
0.4	,11(1),-	,Braga,-	,86.2	,1	,7.13,2015/2016,UEL,2.5	,-	,-	,1054	
0.4	,32(1),1	,Auxerre,1	,75.9	,4	,7.12,2011/2012,FL1,2.1	,1	,-	,2851	
0.5	,8,2	,Auxerre,-	,74.6	,1	,7.26,2010/2011,FL1,1.8	,1	,-	,720	
0.5,143,16,,3,80.6,11,7.24,Total / Average,,3.2,10,3,12569
-	,8,2	,Wolverhampton..,1	,78.3	,-	,7.35,2019/2020,EPL,4.9	,-	,1	,720	
1.5	,2,1	,Wolverhampton..,-	,81.3	,1	,7.47,2019/2020,UEL,4.5	,1	,-	,180	
0.7	,36,2	,Wolverhampton..,1	,81	,2	,7.12,2018/2019,EPL,3.8	,4	,-	,3169	
0.5	,36,8	,Wolverhampton..,-	,83	,2	,7.52,2017/2018,EC,4.1	,3	,2	,3200	
0.3	,4,-	,FC Porto,-	,82.3	,-	,7.05,2016/2017,PLN,3	,-	,-	,360	
-	,3,-	,Braga,-	,91	,-	,7.13,2016/2017,PLN,1.3	,-	,-	,270	
-	,0(1),-	,FC Porto,-	,95.5	,-	,6.25,2016/2017,UCL,-	,-	,-	,45	
0.4	,11(1),-	,Braga,-	,86.2	,1	,7.13,2015/2016,UEL,2.5	,-	,-	,1054	
0.4	,32(1),1	,Auxerre,1	,75.9	,4	,7.12,2011/2012,FL1,2.1	,1	,-	,2851	
0.5	,8,2	,Auxerre,-	,74.6	,1	,7.26,2010/2011,FL1,1.8	,1	,-	,720	
0.5,143,16,,3,80.6,11,7.24,Total / Average,,3.2,10,3,12569
