ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,1(4),-	,Newcastle Uni..,-	,82.4	,-	,5.98,2019/2020,EPL,-	,-	,-	,102	
0.4	,5(12),-	,Newcastle Uni..,-	,70.8	,1	,6.23,2018/2019,EPL,0.6	,1	,-	,519	
1.4	,20(7),1	,Mainz 05,-	,74.9	,2	,6.75,2017/2018,GB,1.3	,8	,2	,1906	
0.9	,10(9),-	,Mainz 05,-	,62.8	,3	,6.51,2016/2017,GB,1	,5	,-	,1021	
1.5	,2,-	,Mainz 05,-	,67.5	,-	,7.45,2016/2017,UEL,4	,1	,-	,153	
2	,1,-	,Japan,-	,82.4	,-	,6.35,2018,WC,2	,-	,-	,82	
1.7	,18(2),2	,Mainz 05,-	,64.6	,2	,6.94,2015/2016,GB,2.2	,7	,2	,1497	
1.1,91,3,,0,69.7,8,6.61,Total / Average,,1.3,22,4,5280
0.2	,1(4),-	,Newcastle Uni..,-	,82.4	,-	,5.98,2019/2020,EPL,-	,-	,-	,102	
0.4	,5(12),-	,Newcastle Uni..,-	,70.8	,1	,6.23,2018/2019,EPL,0.6	,1	,-	,519	
1.4	,20(7),1	,Mainz 05,-	,74.9	,2	,6.75,2017/2018,GB,1.3	,8	,2	,1906	
0.9	,10(9),-	,Mainz 05,-	,62.8	,3	,6.51,2016/2017,GB,1	,5	,-	,1021	
1.5	,2,-	,Mainz 05,-	,67.5	,-	,7.45,2016/2017,UEL,4	,1	,-	,153	
2	,1,-	,Japan,-	,82.4	,-	,6.35,2018,WC,2	,-	,-	,82	
1.7	,18(2),2	,Mainz 05,-	,64.6	,2	,6.94,2015/2016,GB,2.2	,7	,2	,1497	
1.1,91,3,,0,69.7,8,6.61,Total / Average,,1.3,22,4,5280
