ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,7,-	,Manchester Un..,-	,77.9	,2	,7.10,2019/2020,EPL,0.7	,-	,-	,630	
0.3	,35,3	,Crystal Palac..,1	,73	,4	,7.27,2018/2019,EPL,1.2	,-	,3	,3135	
-	,1,-	,England U21,-	,87.5	,1	,6.11,2019,IEU,2	,-	,-	,90	
-	,7,-	,Crystal Palac..,-	,72.9	,1	,7.52,2017/2018,EPL,1.3	,-	,-	,628	
0.2,50,3,,1,74,8,7.26,Total / Average,,1.2,0,3,4483
0.3	,7,-	,Manchester Un..,-	,77.9	,2	,7.10,2019/2020,EPL,0.7	,-	,-	,630	
0.3	,35,3	,Crystal Palac..,1	,73	,4	,7.27,2018/2019,EPL,1.2	,-	,3	,3135	
-	,1,-	,England U21,-	,87.5	,1	,6.11,2019,IEU,2	,-	,-	,90	
-	,7,-	,Crystal Palac..,-	,72.9	,1	,7.52,2017/2018,EPL,1.3	,-	,-	,628	
0.2,50,3,,1,74,8,7.26,Total / Average,,1.2,0,3,4483
