ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.7	,9,1	,Watford,-	,82.8	,1	,6.55,2019/2020,EPL,1.1	,1	,-	,791	
1.5	,34(1),-	,Watford,-	,83.5	,7	,6.76,2018/2019,EPL,1.2	,5	,6	,3062	
1.3	,37,1	,Watford,-	,83.6	,10	,7.00,2017/2018,EPL,1.2	,7	,3	,3325	
1.1	,14(6),-	,Watford,-	,87	,4	,6.48,2016/2017,EPL,0.7	,1	,-	,1351	
0.7	,13(2),-	,Granada,-	,83.9	,5	,6.66,2015/2016,SLL,0.9	,-	,2	,1156	
1.3	,11(5),1	,Rennes,-	,86.3	,1	,6.76,2015/2016,FL1,0.6	,2	,2	,944	
1.5	,31(4),-	,Rennes,-	,85.1	,5	,6.69,2014/2015,FL1,0.9	,3	,5	,2752	
1.4	,12(8),-	,Rennes,-	,80.8	,2	,6.73,2013/2014,FL1,0.6	,6	,4	,1170	
1	,4,1	,Rennes,-	,81.5	,-	,7.18,2012/2013,FL1,0.8	,1	,-	,319	
1.3,191,4,,0,84.1,35,6.75,Total / Average,,0.9,26,22,14870
1.7	,9,1	,Watford,-	,82.8	,1	,6.55,2019/2020,EPL,1.1	,1	,-	,791	
1.5	,34(1),-	,Watford,-	,83.5	,7	,6.76,2018/2019,EPL,1.2	,5	,6	,3062	
1.3	,37,1	,Watford,-	,83.6	,10	,7.00,2017/2018,EPL,1.2	,7	,3	,3325	
1.1	,14(6),-	,Watford,-	,87	,4	,6.48,2016/2017,EPL,0.7	,1	,-	,1351	
0.7	,13(2),-	,Granada,-	,83.9	,5	,6.66,2015/2016,SLL,0.9	,-	,2	,1156	
1.3	,11(5),1	,Rennes,-	,86.3	,1	,6.76,2015/2016,FL1,0.6	,2	,2	,944	
1.5	,31(4),-	,Rennes,-	,85.1	,5	,6.69,2014/2015,FL1,0.9	,3	,5	,2752	
1.4	,12(8),-	,Rennes,-	,80.8	,2	,6.73,2013/2014,FL1,0.6	,6	,4	,1170	
1	,4,1	,Rennes,-	,81.5	,-	,7.18,2012/2013,FL1,0.8	,1	,-	,319	
1.3,191,4,,0,84.1,35,6.75,Total / Average,,0.9,26,22,14870
