ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,0(4),-	,Liverpool,-	,66.7	,-	,6.24,2019/2020,EPL,0.5	,1	,-	,30	
0.4	,5(8),-	,Liverpool,-	,82.1	,1	,6.53,2018/2019,EPL,0.7	,-	,-	,465	
1	,1(2),-	,Liverpool,-	,75.5	,1	,6.12,2018/2019,UCL,1	,-	,-	,104	
0.5	,1(1),-	,Liverpool,-	,80	,-	,6.12,2017/2018,UCL,0.5	,-	,-	,150	
0.9	,1(11),-	,Liverpool,-	,85.9	,1	,6.22,2017/2018,EPL,0.3	,-	,-	,235	
1.6	,27(4),1	,Liverpool,-	,84.3	,3	,7.10,2016/2017,EPL,0.7	,8	,7	,2350	
1.5	,11(2),1	,Liverpool,-	,79.3	,1	,7.04,2015/2016,UEL,1	,3	,1	,977	
1.5	,23(7),1	,Liverpool,-	,82.4	,2	,7.08,2015/2016,EPL,0.8	,4	,6	,2113	
1	,2(2),-	,Liverpool,-	,83.5	,-	,6.57,2014/2015,UCL,1	,-	,-	,222	
1.5	,1(1),-	,Liverpool,-	,88.2	,-	,6.28,2014/2015,UEL,0.5	,-	,-	,116	
1.4	,23(4),1	,Liverpool,-	,82.5	,4	,6.93,2014/2015,EPL,0.7	,5	,3	,1792	
2.3	,3,-	,England,-	,84.9	,-	,6.85,2016,UEC,1.7	,-	,-	,223	
1.8	,37(1),3	,Southampton,-	,84.6	,3	,7.24,2013/2014,EPL,0.5	,9	,5	,3102	
-	,1(2),-	,England,-	,75.6	,1	,6.16,2014,WC,0.7	,-	,-	,91	
1.7	,26(4),1	,Southampton,-	,80.8	,2	,6.96,2012/2013,EPL,0.7	,3	,5	,2242	
1.4,215,8,,0,82.4,19,6.92,Total / Average,,0.7,33,27,14212
0.3	,0(4),-	,Liverpool,-	,66.7	,-	,6.24,2019/2020,EPL,0.5	,1	,-	,30	
0.4	,5(8),-	,Liverpool,-	,82.1	,1	,6.53,2018/2019,EPL,0.7	,-	,-	,465	
1	,1(2),-	,Liverpool,-	,75.5	,1	,6.12,2018/2019,UCL,1	,-	,-	,104	
0.5	,1(1),-	,Liverpool,-	,80	,-	,6.12,2017/2018,UCL,0.5	,-	,-	,150	
0.9	,1(11),-	,Liverpool,-	,85.9	,1	,6.22,2017/2018,EPL,0.3	,-	,-	,235	
1.6	,27(4),1	,Liverpool,-	,84.3	,3	,7.10,2016/2017,EPL,0.7	,8	,7	,2350	
1.5	,11(2),1	,Liverpool,-	,79.3	,1	,7.04,2015/2016,UEL,1	,3	,1	,977	
1.5	,23(7),1	,Liverpool,-	,82.4	,2	,7.08,2015/2016,EPL,0.8	,4	,6	,2113	
1	,2(2),-	,Liverpool,-	,83.5	,-	,6.57,2014/2015,UCL,1	,-	,-	,222	
1.5	,1(1),-	,Liverpool,-	,88.2	,-	,6.28,2014/2015,UEL,0.5	,-	,-	,116	
1.4	,23(4),1	,Liverpool,-	,82.5	,4	,6.93,2014/2015,EPL,0.7	,5	,3	,1792	
2.3	,3,-	,England,-	,84.9	,-	,6.85,2016,UEC,1.7	,-	,-	,223	
1.8	,37(1),3	,Southampton,-	,84.6	,3	,7.24,2013/2014,EPL,0.5	,9	,5	,3102	
-	,1(2),-	,England,-	,75.6	,1	,6.16,2014,WC,0.7	,-	,-	,91	
1.7	,26(4),1	,Southampton,-	,80.8	,2	,6.96,2012/2013,EPL,0.7	,3	,5	,2242	
1.4,215,8,,0,82.4,19,6.92,Total / Average,,0.7,33,27,14212
