ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,6(2),1	,Wolverhampton..,-	,67.5	,-	,7.19,2019/2020,EPL,1.3	,2	,1	,562	
-	,0(2),-	,Wolverhampton..,-	,94.1	,-	,6.40,2019/2020,UEL,-	,-	,-	,55	
0.7	,8(21),1	,Wolverhampton..,-	,72.2	,1	,6.59,2018/2019,EPL,0.8	,1	,1	,896	
1.5	,28(8),14	,Middlesbrough,2	,72.1	,3	,7.80,2017/2018,EC,1	,5	,10	,2427	
1	,0(1),-	,Aston Villa,-	,100	,-	,6.18,2016/2017,EC,-	,-	,-	,16	
0.4	,16(11),2	,Middlesbrough,-	,69.9	,1	,7.03,2016/2017,EPL,0.6	,-	,1	,1537	
0.2	,0(10),-	,Aston Villa,-	,80	,1	,6.38,2015/2016,EPL,-	,-	,1	,184	
1	,0(1),-	,Barcelona,-	,75	,-	,6.62,2013/2014,SLL,-	,-	,-	,7	
-	,0(1),-	,Barcelona,-	,-	,-	,6.28,2013/2014,UCL,1	,-	,-	,8	
0.8,115,18,,2,72,6,7.09,Total / Average,,0.7,8,14,5692
1	,6(2),1	,Wolverhampton..,-	,67.5	,-	,7.19,2019/2020,EPL,1.3	,2	,1	,562	
-	,0(2),-	,Wolverhampton..,-	,94.1	,-	,6.40,2019/2020,UEL,-	,-	,-	,55	
0.7	,8(21),1	,Wolverhampton..,-	,72.2	,1	,6.59,2018/2019,EPL,0.8	,1	,1	,896	
1.5	,28(8),14	,Middlesbrough,2	,72.1	,3	,7.80,2017/2018,EC,1	,5	,10	,2427	
1	,0(1),-	,Aston Villa,-	,100	,-	,6.18,2016/2017,EC,-	,-	,-	,16	
0.4	,16(11),2	,Middlesbrough,-	,69.9	,1	,7.03,2016/2017,EPL,0.6	,-	,1	,1537	
0.2	,0(10),-	,Aston Villa,-	,80	,1	,6.38,2015/2016,EPL,-	,-	,1	,184	
1	,0(1),-	,Barcelona,-	,75	,-	,6.62,2013/2014,SLL,-	,-	,-	,7	
-	,0(1),-	,Barcelona,-	,-	,-	,6.28,2013/2014,UCL,1	,-	,-	,8	
0.8,115,18,,2,72,6,7.09,Total / Average,,0.7,8,14,5692
