ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,7(1),-	,Liverpool,-	,74.4	,1	,6.41,2019/2020,EPL,0.4	,-	,-	,681	
-	,2,-	,Liverpool,-	,74.5	,-	,6.39,2019/2020,UCL,0.5	,-	,-	,180	
-	,19,-	,West Ham,-	,42.5	,2	,6.78,2017/2018,EPL,0.2	,-	,-	,1710	
-	,16,-	,West Ham,-	,49.4	,1	,6.66,2016/2017,EPL,0.1	,-	,-	,1440	
-	,32,1	,West Ham,1	,50.5	,1	,6.81,2015/2016,EPL,0.2	,-	,-	,2880	
-	,38,1	,West Ham,1	,46.2	,3	,6.80,2014/2015,EPL,0.2	,-	,-	,3391	
-	,20,1	,West Ham,-	,48.3	,2	,6.82,2013/2014,EPL,0.1	,-	,-	,1800	
-	,31(1),1	,Real Betis,-	,47.7	,5	,6.91,2012/2013,SLL,0.5	,-	,-	,2868	
0,167,4,,2,49.1,15,6.78,Total / Average,,0.3,0,0,14950
-	,7(1),-	,Liverpool,-	,74.4	,1	,6.41,2019/2020,EPL,0.4	,-	,-	,681	
-	,2,-	,Liverpool,-	,74.5	,-	,6.39,2019/2020,UCL,0.5	,-	,-	,180	
-	,19,-	,West Ham,-	,42.5	,2	,6.78,2017/2018,EPL,0.2	,-	,-	,1710	
-	,16,-	,West Ham,-	,49.4	,1	,6.66,2016/2017,EPL,0.1	,-	,-	,1440	
-	,32,1	,West Ham,1	,50.5	,1	,6.81,2015/2016,EPL,0.2	,-	,-	,2880	
-	,38,1	,West Ham,1	,46.2	,3	,6.80,2014/2015,EPL,0.2	,-	,-	,3391	
-	,20,1	,West Ham,-	,48.3	,2	,6.82,2013/2014,EPL,0.1	,-	,-	,1800	
-	,31(1),1	,Real Betis,-	,47.7	,5	,6.91,2012/2013,SLL,0.5	,-	,-	,2868	
0,167,4,,2,49.1,15,6.78,Total / Average,,0.3,0,0,14950
