ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.2	,2(4),-	,Liverpool,-	,89	,-	,6.48,2019/2020,EPL,0.5	,-	,-	,228	
3	,1,1	,Liverpool,-	,88.9	,-	,8.76,2019/2020,UCL,1	,2	,-	,74	
0.5	,0(2),-	,Liverpool,-	,76.9	,-	,6.35,2018/2019,EPL,-	,-	,-	,19	
1.4	,4(3),-	,Liverpool,-	,82.6	,-	,6.96,2017/2018,UCL,0.4	,2	,-	,320	
1.2	,14(18),1	,Liverpool,-	,81.9	,3	,6.88,2017/2018,EPL,0.3	,3	,7	,1485	
3	,3,1	,Arsenal,-	,84.6	,-	,7.81,2017/2018,EPL,1.3	,-	,-	,242	
0.7	,4(3),-	,Arsenal,-	,77.6	,1	,6.91,2016/2017,UCL,1.1	,1	,1	,378	
1	,16(13),1	,Arsenal,-	,82.2	,1	,6.99,2016/2017,EPL,0.5	,2	,7	,1563	
1.2	,3(2),-	,Arsenal,-	,84.7	,-	,6.63,2015/2016,UCL,0.4	,-	,-	,238	
1	,9(13),-	,Arsenal,-	,82.5	,-	,6.66,2015/2016,EPL,0.4	,1	,-	,925	
1	,4(3),1	,Arsenal,-	,85.2	,-	,7.53,2014/2015,UCL,0.6	,2	,2	,395	
1.4	,17(6),2	,Arsenal,-	,81.4	,4	,7.15,2014/2015,EPL,0.3	,1	,1	,1495	
0.5	,2,-	,Arsenal,-	,75	,-	,7.12,2013/2014,UCL,-	,-	,-	,159	
1.3	,6(8),1	,Arsenal,-	,80.4	,-	,6.55,2013/2014,EPL,0.2	,2	,2	,525	
0.5	,3(1),-	,Arsenal,-	,84.3	,-	,6.83,2012/2013,UCL,1.5	,-	,-	,250	
1.3	,11(14),-	,Arsenal,-	,81.1	,1	,6.78,2012/2013,EPL,0.4	,1	,3	,1063	
-	,1(2),-	,England,-	,77.3	,1	,6.17,2012,UEC,-	,-	,-	,81	
1.3	,3(1),-	,Arsenal,-	,85.3	,1	,7.01,2011/2012,UCL,-	,1	,1	,256	
0.9	,6(10),-	,Arsenal,-	,84.4	,-	,6.65,2011/2012,EPL,0.2	,2	,1	,556	
1.1,212,8,,0,82.2,12,6.87,Total / Average,,0.4,20,25,10252
1.2	,2(4),-	,Liverpool,-	,89	,-	,6.48,2019/2020,EPL,0.5	,-	,-	,228	
3	,1,1	,Liverpool,-	,88.9	,-	,8.76,2019/2020,UCL,1	,2	,-	,74	
0.5	,0(2),-	,Liverpool,-	,76.9	,-	,6.35,2018/2019,EPL,-	,-	,-	,19	
1.4	,4(3),-	,Liverpool,-	,82.6	,-	,6.96,2017/2018,UCL,0.4	,2	,-	,320	
1.2	,14(18),1	,Liverpool,-	,81.9	,3	,6.88,2017/2018,EPL,0.3	,3	,7	,1485	
3	,3,1	,Arsenal,-	,84.6	,-	,7.81,2017/2018,EPL,1.3	,-	,-	,242	
0.7	,4(3),-	,Arsenal,-	,77.6	,1	,6.91,2016/2017,UCL,1.1	,1	,1	,378	
1	,16(13),1	,Arsenal,-	,82.2	,1	,6.99,2016/2017,EPL,0.5	,2	,7	,1563	
1.2	,3(2),-	,Arsenal,-	,84.7	,-	,6.63,2015/2016,UCL,0.4	,-	,-	,238	
1	,9(13),-	,Arsenal,-	,82.5	,-	,6.66,2015/2016,EPL,0.4	,1	,-	,925	
1	,4(3),1	,Arsenal,-	,85.2	,-	,7.53,2014/2015,UCL,0.6	,2	,2	,395	
1.4	,17(6),2	,Arsenal,-	,81.4	,4	,7.15,2014/2015,EPL,0.3	,1	,1	,1495	
0.5	,2,-	,Arsenal,-	,75	,-	,7.12,2013/2014,UCL,-	,-	,-	,159	
1.3	,6(8),1	,Arsenal,-	,80.4	,-	,6.55,2013/2014,EPL,0.2	,2	,2	,525	
0.5	,3(1),-	,Arsenal,-	,84.3	,-	,6.83,2012/2013,UCL,1.5	,-	,-	,250	
1.3	,11(14),-	,Arsenal,-	,81.1	,1	,6.78,2012/2013,EPL,0.4	,1	,3	,1063	
-	,1(2),-	,England,-	,77.3	,1	,6.17,2012,UEC,-	,-	,-	,81	
1.3	,3(1),-	,Arsenal,-	,85.3	,1	,7.01,2011/2012,UCL,-	,1	,1	,256	
0.9	,6(10),-	,Arsenal,-	,84.4	,-	,6.65,2011/2012,EPL,0.2	,2	,1	,556	
1.1,212,8,,0,82.2,12,6.87,Total / Average,,0.4,20,25,10252
