ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,3(1),-	,Norwich,-	,86.9	,-	,6.41,2019/2020,EPL,0.5	,-	,-	,196	
1.3	,26(4),1	,Norwich,-	,85.2	,4	,6.73,2018/2019,EC,2.1	,1	,-	,2374	
0.3	,21(2),-	,Norwich,-	,89.2	,8	,6.67,2017/2018,EC,1.6	,-	,1	,1931	
0.5	,33(2),-	,Norwich,-	,82.1	,11	,6.69,2016/2017,EC,1.5	,-	,-	,2917	
0.9	,23,1	,Norwich,-	,83.8	,10	,6.68,2015/2016,EPL,1.3	,2	,-	,1952	
0.9	,37(2),1	,Norwich,-	,85.8	,13	,7.13,2014/2015,EC,1.5	,2	,1	,3225	
0.7	,17(4),1	,Norwich,-	,87.8	,7	,6.70,2013/2014,EPL,1.4	,1	,-	,1488	
0.8	,21(6),-	,Norwich,-	,83.3	,4	,6.71,2012/2013,EPL,1.1	,-	,-	,1903	
0.7	,7(12),-	,Rennes,-	,89.4	,4	,6.48,2011/2012,FL1,0.2	,1	,-	,734	
0.9	,15(2),-	,Rennes,-	,87.4	,3	,6.83,2010/2011,FL1,1.1	,1	,2	,1320	
0.7	,20(4),-	,Rennes,-	,82.1	,2	,6.82,2009/2010,FL1,0.3	,-	,-	,1811	
0.8,262,4,,0,85.3,66,6.76,Total / Average,,1.3,8,4,19851
-	,3(1),-	,Norwich,-	,86.9	,-	,6.41,2019/2020,EPL,0.5	,-	,-	,196	
1.3	,26(4),1	,Norwich,-	,85.2	,4	,6.73,2018/2019,EC,2.1	,1	,-	,2374	
0.3	,21(2),-	,Norwich,-	,89.2	,8	,6.67,2017/2018,EC,1.6	,-	,1	,1931	
0.5	,33(2),-	,Norwich,-	,82.1	,11	,6.69,2016/2017,EC,1.5	,-	,-	,2917	
0.9	,23,1	,Norwich,-	,83.8	,10	,6.68,2015/2016,EPL,1.3	,2	,-	,1952	
0.9	,37(2),1	,Norwich,-	,85.8	,13	,7.13,2014/2015,EC,1.5	,2	,1	,3225	
0.7	,17(4),1	,Norwich,-	,87.8	,7	,6.70,2013/2014,EPL,1.4	,1	,-	,1488	
0.8	,21(6),-	,Norwich,-	,83.3	,4	,6.71,2012/2013,EPL,1.1	,-	,-	,1903	
0.7	,7(12),-	,Rennes,-	,89.4	,4	,6.48,2011/2012,FL1,0.2	,1	,-	,734	
0.9	,15(2),-	,Rennes,-	,87.4	,3	,6.83,2010/2011,FL1,1.1	,1	,2	,1320	
0.7	,20(4),-	,Rennes,-	,82.1	,2	,6.82,2009/2010,FL1,0.3	,-	,-	,1811	
0.8,262,4,,0,85.3,66,6.76,Total / Average,,1.3,8,4,19851
