ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.5	,5(3),-	,Watford,-	,71.2	,-	,6.37,2019/2020,EPL,1.3	,1	,-	,399	
1.2	,13(16),-	,Watford,-	,65.7	,2	,6.35,2018/2019,EPL,0.6	,7	,2	,1362	
1.1	,16(15),-	,Watford,-	,71.9	,1	,6.24,2017/2018,EPL,0.5	,5	,2	,1499	
1.5	,26(6),1	,Burnley,-	,71.8	,2	,6.42,2016/2017,EPL,0.1	,9	,3	,2268	
4.5	,1(1),-	,Brentford,-	,83.3	,-	,7.89,2015/2016,EC,0.5	,2	,1	,125	
2.7	,41,5	,Burnley,-	,68.2	,2	,6.95,2015/2016,EC,0.3	,23	,8	,3410	
2.3	,45(2),1	,Brentford,-	,72.6	,1	,6.67,2014/2015,EC,0.1	,17	,6	,3670	
1.9,190,7,,0,70.4,8,6.57,Total / Average,,0.3,64,22,12733
1.5	,5(3),-	,Watford,-	,71.2	,-	,6.37,2019/2020,EPL,1.3	,1	,-	,399	
1.2	,13(16),-	,Watford,-	,65.7	,2	,6.35,2018/2019,EPL,0.6	,7	,2	,1362	
1.1	,16(15),-	,Watford,-	,71.9	,1	,6.24,2017/2018,EPL,0.5	,5	,2	,1499	
1.5	,26(6),1	,Burnley,-	,71.8	,2	,6.42,2016/2017,EPL,0.1	,9	,3	,2268	
4.5	,1(1),-	,Brentford,-	,83.3	,-	,7.89,2015/2016,EC,0.5	,2	,1	,125	
2.7	,41,5	,Burnley,-	,68.2	,2	,6.95,2015/2016,EC,0.3	,23	,8	,3410	
2.3	,45(2),1	,Brentford,-	,72.6	,1	,6.67,2014/2015,EC,0.1	,17	,6	,3670	
1.9,190,7,,0,70.4,8,6.57,Total / Average,,0.3,64,22,12733
