ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.8	,7(1),-	,Manchester Un..,-	,75.7	,1	,6.57,2019/2020,EPL,0.5	,-	,1	,577	
-	,0(1),-	,Manchester Un..,-	,75	,-	,5.96,2019/2020,UEL,-	,-	,-	,8	
0.5	,6(9),-	,Manchester Un..,-	,82.4	,5	,6.26,2018/2019,EPL,0.2	,1	,1	,597	
0.5	,2(2),-	,Manchester Un..,-	,82.5	,-	,6.37,2018/2019,UCL,0.8	,-	,-	,191	
0.6	,12(11),1	,Valencia,-	,71.6	,5	,6.54,2017/2018,SLL,0.6	,1	,3	,1078	
2.1	,34(1),2	,Granada,1	,76.1	,10	,6.81,2016/2017,SLL,0.7	,5	,3	,2830	
0.5	,0(2),-	,Manchester Un..,-	,90	,-	,6.25,2015/2016,UEL,-	,-	,-	,16	
1	,0(1),-	,Manchester Un..,-	,55.6	,-	,5.95,2015/2016,UCL,-	,-	,-	,28	
-	,0(4),-	,Manchester Un..,-	,85.7	,2	,6.22,2015/2016,EPL,-	,-	,-	,80	
-	,0(1),-	,Manchester Un..,-	,50	,-	,6.32,2014/2015,EPL,-	,-	,-	,13	
1.2,94,3,,1,76.5,23,6.56,Total / Average,,0.5,7,8,5418
1.8	,7(1),-	,Manchester Un..,-	,75.7	,1	,6.57,2019/2020,EPL,0.5	,-	,1	,577	
-	,0(1),-	,Manchester Un..,-	,75	,-	,5.96,2019/2020,UEL,-	,-	,-	,8	
0.5	,6(9),-	,Manchester Un..,-	,82.4	,5	,6.26,2018/2019,EPL,0.2	,1	,1	,597	
0.5	,2(2),-	,Manchester Un..,-	,82.5	,-	,6.37,2018/2019,UCL,0.8	,-	,-	,191	
0.6	,12(11),1	,Valencia,-	,71.6	,5	,6.54,2017/2018,SLL,0.6	,1	,3	,1078	
2.1	,34(1),2	,Granada,1	,76.1	,10	,6.81,2016/2017,SLL,0.7	,5	,3	,2830	
0.5	,0(2),-	,Manchester Un..,-	,90	,-	,6.25,2015/2016,UEL,-	,-	,-	,16	
1	,0(1),-	,Manchester Un..,-	,55.6	,-	,5.95,2015/2016,UCL,-	,-	,-	,28	
-	,0(4),-	,Manchester Un..,-	,85.7	,2	,6.22,2015/2016,EPL,-	,-	,-	,80	
-	,0(1),-	,Manchester Un..,-	,50	,-	,6.32,2014/2015,EPL,-	,-	,-	,13	
1.2,94,3,,1,76.5,23,6.56,Total / Average,,0.5,7,8,5418
