ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,9,2	,Liverpool,-	,85.3	,-	,7.26,2019/2020,EPL,0.4	,-	,3	,810	
0.7	,3,-	,Liverpool,-	,87.7	,1	,6.45,2019/2020,UCL,-	,1	,-	,243	
0.4	,36,1	,Liverpool,-	,83.2	,4	,7.12,2018/2019,EPL,0.7	,-	,11	,3219	
0.5	,12,-	,Liverpool,-	,79.1	,3	,6.77,2018/2019,UCL,0.4	,-	,2	,1009	
0.8	,4,-	,Scotland,-	,82.2	,1	,6.92,2018/2019,UNL,1	,-	,-	,360	
0.5	,6,-	,Liverpool,-	,82	,1	,6.99,2017/2018,UCL,0.7	,-	,-	,540	
0.5	,22,1	,Liverpool,-	,87.1	,2	,7.02,2017/2018,EPL,0.7	,1	,5	,1943	
0.2	,31(2),-	,Hull,-	,76	,5	,6.67,2016/2017,EPL,0.3	,1	,2	,2737	
0.5	,44(1),-	,Hull,-	,76.6	,5	,6.98,2015/2016,EC,0.5	,3	,4	,3841	
0.4	,17(7),-	,Hull,-	,76.3	,7	,6.72,2014/2015,EPL,0.4	,-	,2	,1527	
0.5,194,4,,0,79.9,29,6.92,Total / Average,,0.5,6,29,16229
1	,9,2	,Liverpool,-	,85.3	,-	,7.26,2019/2020,EPL,0.4	,-	,3	,810	
0.7	,3,-	,Liverpool,-	,87.7	,1	,6.45,2019/2020,UCL,-	,1	,-	,243	
0.4	,36,1	,Liverpool,-	,83.2	,4	,7.12,2018/2019,EPL,0.7	,-	,11	,3219	
0.5	,12,-	,Liverpool,-	,79.1	,3	,6.77,2018/2019,UCL,0.4	,-	,2	,1009	
0.8	,4,-	,Scotland,-	,82.2	,1	,6.92,2018/2019,UNL,1	,-	,-	,360	
0.5	,6,-	,Liverpool,-	,82	,1	,6.99,2017/2018,UCL,0.7	,-	,-	,540	
0.5	,22,1	,Liverpool,-	,87.1	,2	,7.02,2017/2018,EPL,0.7	,1	,5	,1943	
0.2	,31(2),-	,Hull,-	,76	,5	,6.67,2016/2017,EPL,0.3	,1	,2	,2737	
0.5	,44(1),-	,Hull,-	,76.6	,5	,6.98,2015/2016,EC,0.5	,3	,4	,3841	
0.4	,17(7),-	,Hull,-	,76.3	,7	,6.72,2014/2015,EPL,0.4	,-	,2	,1527	
0.5,194,4,,0,79.9,29,6.92,Total / Average,,0.5,6,29,16229
