ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(3),-	,Bournemouth,-	,85.2	,-	,6.05,2019/2020,EPL,-	,-	,-	,57	
0.5	,16(2),-	,Bournemouth,-	,87	,2	,6.33,2018/2019,EPL,1.1	,-	,-	,1439	
0.7	,20(5),1	,Bournemouth,-	,84.4	,2	,6.73,2017/2018,EPL,1.4	,2	,5	,1852	
0.4	,21(1),-	,Bournemouth,1	,86	,1	,6.58,2016/2017,EPL,0.8	,-	,1	,1792	
0.4	,38,1	,Bournemouth,-	,85.3	,4	,6.79,2015/2016,EPL,1.2	,-	,3	,3420	
1	,1,-	,Norwich,-	,77.8	,-	,6.53,2014/2015,EC,-	,-	,-	,65	
0.8	,40(1),1	,Bournemouth,-	,86.7	,4	,7.17,2014/2015,EC,1	,3	,6	,3596	
1.1	,30(5),-	,Bournemouth,-	,83.9	,2	,6.68,2013/2014,EC,0.9	,-	,4	,2554	
2.3	,4,-	,Norwich,-	,78.8	,-	,6.15,2012/2013,EPL,0.5	,-	,-	,274	
1.6	,21(4),2	,Norwich,-	,82.5	,1	,6.67,2011/2012,EPL,0.3	,4	,-	,1915	
0.6	,3(4),-	,Wolverhampton..,-	,81.8	,-	,6.13,2009/2010,EPL,-	,-	,-	,315	
0.8,219,5,,1,84.9,16,6.72,Total / Average,,0.9,9,19,17279
-	,0(3),-	,Bournemouth,-	,85.2	,-	,6.05,2019/2020,EPL,-	,-	,-	,57	
0.5	,16(2),-	,Bournemouth,-	,87	,2	,6.33,2018/2019,EPL,1.1	,-	,-	,1439	
0.7	,20(5),1	,Bournemouth,-	,84.4	,2	,6.73,2017/2018,EPL,1.4	,2	,5	,1852	
0.4	,21(1),-	,Bournemouth,1	,86	,1	,6.58,2016/2017,EPL,0.8	,-	,1	,1792	
0.4	,38,1	,Bournemouth,-	,85.3	,4	,6.79,2015/2016,EPL,1.2	,-	,3	,3420	
1	,1,-	,Norwich,-	,77.8	,-	,6.53,2014/2015,EC,-	,-	,-	,65	
0.8	,40(1),1	,Bournemouth,-	,86.7	,4	,7.17,2014/2015,EC,1	,3	,6	,3596	
1.1	,30(5),-	,Bournemouth,-	,83.9	,2	,6.68,2013/2014,EC,0.9	,-	,4	,2554	
2.3	,4,-	,Norwich,-	,78.8	,-	,6.15,2012/2013,EPL,0.5	,-	,-	,274	
1.6	,21(4),2	,Norwich,-	,82.5	,1	,6.67,2011/2012,EPL,0.3	,4	,-	,1915	
0.6	,3(4),-	,Wolverhampton..,-	,81.8	,-	,6.13,2009/2010,EPL,-	,-	,-	,315	
0.8,219,5,,1,84.9,16,6.72,Total / Average,,0.9,9,19,17279
