ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.5	,6(2),1	,West Ham,-	,83.2	,1	,6.93,2019/2020,EPL,0.3	,3	,-	,503	
1	,5(4),-	,West Ham,-	,82.3	,2	,6.28,2018/2019,EPL,0.3	,2	,-	,461	
1.7	,3,-	,Ukraine,-	,88.3	,-	,6.82,2018/2019,UNL,0.3	,1	,-	,246	
1.7	,13(5),1	,Borussia Dort..,-	,78.5	,-	,6.80,2017/2018,GB,0.5	,3	,2	,1042	
1.5	,4(2),-	,Borussia Dort..,-	,81.5	,-	,6.75,2017/2018,UCL,0.3	,1	,1	,378	
2	,5,1	,Dynamo Kyiv,-	,82.7	,-	,6.88,2016/2017,UCL,0.2	,1	,2	,450	
1.4	,7,-	,Dynamo Kyiv,-	,78.7	,-	,6.97,2015/2016,UCL,0.1	,2	,-	,558	
2.7	,11,1	,Dynamo Kyiv,1	,81.3	,-	,7.53,2014/2015,UEL,0.3	,4	,7	,933	
2	,3,-	,Ukraine,-	,80.7	,-	,6.45,2016,UEC,1	,-	,-	,270	
2.7	,7,2	,Dynamo Kyiv,-	,78.2	,3	,8.07,2013/2014,UEL,0.4	,4	,-	,611	
4	,2,-	,Dynamo Kyiv,-	,79.6	,-	,6.72,2012/2013,UEL,-	,-	,-	,180	
1.5	,5(1),-	,Dynamo Kyiv,-	,82.7	,1	,6.84,2012/2013,UCL,0.3	,1	,2	,463	
1.3	,3,-	,Ukraine,-	,85.2	,-	,6.84,2012,UEC,0.3	,-	,1	,248	
1.5	,6,-	,Dynamo Kyiv,-	,78.3	,-	,6.83,2009/2010,UCL,0.5	,-	,-	,515	
1.8,94,6,,1,80.9,7,6.95,Total / Average,,0.4,22,15,6858
1.5	,6(2),1	,West Ham,-	,83.2	,1	,6.93,2019/2020,EPL,0.3	,3	,-	,503	
1	,5(4),-	,West Ham,-	,82.3	,2	,6.28,2018/2019,EPL,0.3	,2	,-	,461	
1.7	,3,-	,Ukraine,-	,88.3	,-	,6.82,2018/2019,UNL,0.3	,1	,-	,246	
1.7	,13(5),1	,Borussia Dort..,-	,78.5	,-	,6.80,2017/2018,GB,0.5	,3	,2	,1042	
1.5	,4(2),-	,Borussia Dort..,-	,81.5	,-	,6.75,2017/2018,UCL,0.3	,1	,1	,378	
2	,5,1	,Dynamo Kyiv,-	,82.7	,-	,6.88,2016/2017,UCL,0.2	,1	,2	,450	
1.4	,7,-	,Dynamo Kyiv,-	,78.7	,-	,6.97,2015/2016,UCL,0.1	,2	,-	,558	
2.7	,11,1	,Dynamo Kyiv,1	,81.3	,-	,7.53,2014/2015,UEL,0.3	,4	,7	,933	
2	,3,-	,Ukraine,-	,80.7	,-	,6.45,2016,UEC,1	,-	,-	,270	
2.7	,7,2	,Dynamo Kyiv,-	,78.2	,3	,8.07,2013/2014,UEL,0.4	,4	,-	,611	
4	,2,-	,Dynamo Kyiv,-	,79.6	,-	,6.72,2012/2013,UEL,-	,-	,-	,180	
1.5	,5(1),-	,Dynamo Kyiv,-	,82.7	,1	,6.84,2012/2013,UCL,0.3	,1	,2	,463	
1.3	,3,-	,Ukraine,-	,85.2	,-	,6.84,2012,UEC,0.3	,-	,1	,248	
1.5	,6,-	,Dynamo Kyiv,-	,78.3	,-	,6.83,2009/2010,UCL,0.5	,-	,-	,515	
1.8,94,6,,1,80.9,7,6.95,Total / Average,,0.4,22,15,6858
