ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,5(1),-	,Everton,-	,82.7	,3	,6.57,2019/2020,EPL,0.8	,-	,-	,412	
0.8	,24(3),-	,Everton,-	,84.8	,7	,6.65,2018/2019,EPL,1.4	,1	,1	,1986	
0.4	,6(10),-	,Barcelona,-	,89.2	,1	,6.39,2017/2018,SLL,0.9	,-	,-	,629	
0.2	,1(8),-	,Barcelona,-	,91.3	,1	,6.24,2017/2018,UCL,0.2	,-	,-	,172	
0.6	,17(13),-	,Barcelona,-	,88.1	,3	,6.65,2016/2017,SLL,0.8	,3	,1	,1591	
0.8	,5(3),-	,Barcelona,-	,93.8	,1	,6.81,2016/2017,UCL,0.1	,-	,-	,465	
1.4	,27(3),-	,Valencia,-	,81	,10	,6.78,2015/2016,SLL,1.3	,3	,3	,2381	
1	,2(1),-	,Valencia,-	,81.6	,1	,7.30,2015/2016,UEL,1	,1	,1	,171	
1.5	,2(2),-	,Valencia,-	,83.7	,2	,6.46,2015/2016,UCL,0.5	,1	,-	,252	
1.2	,31(2),-	,Valencia,1	,79.2	,8	,6.92,2014/2015,SLL,2.2	,4	,1	,2559	
1.2	,4(1),-	,Portugal,-	,82.3	,-	,6.90,2016,UEC,0.6	,-	,1	,294	
0.5	,0(2),-	,Benfica,-	,96.6	,-	,6.24,2013/2014,UCL,1	,-	,-	,62	
0.7	,7,-	,Benfica,-	,85.5	,3	,7.02,2013/2014,UEL,1	,-	,-	,629	
1.3	,3,-	,Benfica,-	,81.6	,1	,6.26,2012/2013,UEL,0.3	,-	,-	,185	
1	,1(1),-	,Benfica,-	,82.6	,-	,6.56,2012/2013,UCL,1.5	,-	,-	,98	
0.9,185,0,,1,84.7,41,6.70,Total / Average,,1.2,13,8,11886
0.2	,5(1),-	,Everton,-	,82.7	,3	,6.57,2019/2020,EPL,0.8	,-	,-	,412	
0.8	,24(3),-	,Everton,-	,84.8	,7	,6.65,2018/2019,EPL,1.4	,1	,1	,1986	
0.4	,6(10),-	,Barcelona,-	,89.2	,1	,6.39,2017/2018,SLL,0.9	,-	,-	,629	
0.2	,1(8),-	,Barcelona,-	,91.3	,1	,6.24,2017/2018,UCL,0.2	,-	,-	,172	
0.6	,17(13),-	,Barcelona,-	,88.1	,3	,6.65,2016/2017,SLL,0.8	,3	,1	,1591	
0.8	,5(3),-	,Barcelona,-	,93.8	,1	,6.81,2016/2017,UCL,0.1	,-	,-	,465	
1.4	,27(3),-	,Valencia,-	,81	,10	,6.78,2015/2016,SLL,1.3	,3	,3	,2381	
1	,2(1),-	,Valencia,-	,81.6	,1	,7.30,2015/2016,UEL,1	,1	,1	,171	
1.5	,2(2),-	,Valencia,-	,83.7	,2	,6.46,2015/2016,UCL,0.5	,1	,-	,252	
1.2	,31(2),-	,Valencia,1	,79.2	,8	,6.92,2014/2015,SLL,2.2	,4	,1	,2559	
1.2	,4(1),-	,Portugal,-	,82.3	,-	,6.90,2016,UEC,0.6	,-	,1	,294	
0.5	,0(2),-	,Benfica,-	,96.6	,-	,6.24,2013/2014,UCL,1	,-	,-	,62	
0.7	,7,-	,Benfica,-	,85.5	,3	,7.02,2013/2014,UEL,1	,-	,-	,629	
1.3	,3,-	,Benfica,-	,81.6	,1	,6.26,2012/2013,UEL,0.3	,-	,-	,185	
1	,1(1),-	,Benfica,-	,82.6	,-	,6.56,2012/2013,UCL,1.5	,-	,-	,98	
0.9,185,0,,1,84.7,41,6.70,Total / Average,,1.2,13,8,11886
