ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,0(4),-	,Newcastle Uni..,-	,65.2	,-	,6.27,2019/2020,EPL,3.3	,-	,-	,89	
1.2	,3(9),-	,West Ham,-	,61	,2	,6.33,2018/2019,EPL,3.8	,-	,-	,456	
1.8	,7(9),1	,West Ham,1	,61.3	,5	,6.69,2017/2018,EPL,4.8	,3	,-	,748	
2.2	,15(3),4	,West Ham,-	,58.2	,3	,7.42,2016/2017,EPL,9.1	,7	,1	,1314	
2.1	,13(14),1	,West Ham,-	,61.6	,2	,6.92,2015/2016,EPL,4.1	,9	,2	,1436	
2.6	,12(2),2	,West Ham,-	,61.1	,2	,7.28,2014/2015,EPL,8.6	,5	,1	,1027	
3.4	,12(3),1	,West Ham,1	,60.3	,-	,7.23,2013/2014,EPL,8.9	,2	,4	,1093	
3.3	,22(2),2	,West Ham,-	,60.9	,5	,7.58,2012/2013,EPL,9.3	,7	,4	,1939	
1	,0(2),-	,Liverpool,-	,62.5	,1	,6.30,2012/2013,EPL,1.5	,-	,-	,18	
1	,1(2),-	,England,-	,53.8	,-	,6.60,2012,UEC,1.3	,1	,-	,159	
2.5	,21(14),3	,Liverpool,-	,64	,5	,6.89,2011/2012,EPL,4.3	,4	,2	,2065	
3.9	,18(1),3	,Newcastle Uni..,-	,60.9	,4	,7.54,2010/2011,EPL,7.1	,11	,3	,1624	
2.3	,5(2),1	,Liverpool,-	,61	,1	,6.75,2010/2011,EPL,3.3	,2	,-	,447	
2.5,196,18,,2,61.3,30,7.07,Total / Average,,6.2,51,17,12415
0.3	,0(4),-	,Newcastle Uni..,-	,65.2	,-	,6.27,2019/2020,EPL,3.3	,-	,-	,89	
1.2	,3(9),-	,West Ham,-	,61	,2	,6.33,2018/2019,EPL,3.8	,-	,-	,456	
1.8	,7(9),1	,West Ham,1	,61.3	,5	,6.69,2017/2018,EPL,4.8	,3	,-	,748	
2.2	,15(3),4	,West Ham,-	,58.2	,3	,7.42,2016/2017,EPL,9.1	,7	,1	,1314	
2.1	,13(14),1	,West Ham,-	,61.6	,2	,6.92,2015/2016,EPL,4.1	,9	,2	,1436	
2.6	,12(2),2	,West Ham,-	,61.1	,2	,7.28,2014/2015,EPL,8.6	,5	,1	,1027	
3.4	,12(3),1	,West Ham,1	,60.3	,-	,7.23,2013/2014,EPL,8.9	,2	,4	,1093	
3.3	,22(2),2	,West Ham,-	,60.9	,5	,7.58,2012/2013,EPL,9.3	,7	,4	,1939	
1	,0(2),-	,Liverpool,-	,62.5	,1	,6.30,2012/2013,EPL,1.5	,-	,-	,18	
1	,1(2),-	,England,-	,53.8	,-	,6.60,2012,UEC,1.3	,1	,-	,159	
2.5	,21(14),3	,Liverpool,-	,64	,5	,6.89,2011/2012,EPL,4.3	,4	,2	,2065	
3.9	,18(1),3	,Newcastle Uni..,-	,60.9	,4	,7.54,2010/2011,EPL,7.1	,11	,3	,1624	
2.3	,5(2),1	,Liverpool,-	,61	,1	,6.75,2010/2011,EPL,3.3	,2	,-	,447	
2.5,196,18,,2,61.3,30,7.07,Total / Average,,6.2,51,17,12415
