ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,8,-	,West Ham,-	,78.9	,2	,6.94,2019/2020,EPL,3.4	,-	,-	,720	
0.6	,20(4),-	,West Ham,-	,83.6	,2	,6.74,2018/2019,EPL,3.2	,1	,1	,1871	
0.3	,32,-	,West Ham,-	,79.8	,3	,6.75,2017/2018,EPL,2.5	,1	,-	,2880	
0.2	,20,-	,West Ham,-	,81.2	,2	,6.70,2016/2017,EPL,2.2	,-	,-	,1756	
0.2	,27(1),-	,West Ham,-	,79.4	,5	,6.86,2015/2016,EPL,2.2	,-	,-	,2328	
0.4	,18(7),-	,Juventus,-	,89.4	,4	,6.93,2014/2015,ISA,1.8	,-	,-	,1752	
-	,1,-	,Juventus,-	,74.5	,-	,6.43,2014/2015,UCL,2	,-	,-	,77	
-	,1,-	,Italy,-	,84.4	,-	,6.65,2016,UEC,2	,-	,-	,90	
0.4	,14(2),-	,Juventus,1	,90.5	,3	,6.99,2013/2014,ISA,2.4	,-	,-	,1262	
0.3	,2(1),-	,Juventus,-	,89.9	,-	,6.30,2013/2014,UCL,2.3	,-	,-	,166	
-	,3,-	,Juventus,-	,89.4	,-	,7.52,2013/2014,UEL,1	,-	,-	,270	
0.4	,22,-	,Torino,1	,92.7	,2	,6.85,2012/2013,ISA,1.6	,-	,-	,1964	
0.3,183,0,,2,84.5,23,6.83,Total / Average,,2.3,2,1,15136
0.4	,8,-	,West Ham,-	,78.9	,2	,6.94,2019/2020,EPL,3.4	,-	,-	,720	
0.6	,20(4),-	,West Ham,-	,83.6	,2	,6.74,2018/2019,EPL,3.2	,1	,1	,1871	
0.3	,32,-	,West Ham,-	,79.8	,3	,6.75,2017/2018,EPL,2.5	,1	,-	,2880	
0.2	,20,-	,West Ham,-	,81.2	,2	,6.70,2016/2017,EPL,2.2	,-	,-	,1756	
0.2	,27(1),-	,West Ham,-	,79.4	,5	,6.86,2015/2016,EPL,2.2	,-	,-	,2328	
0.4	,18(7),-	,Juventus,-	,89.4	,4	,6.93,2014/2015,ISA,1.8	,-	,-	,1752	
-	,1,-	,Juventus,-	,74.5	,-	,6.43,2014/2015,UCL,2	,-	,-	,77	
-	,1,-	,Italy,-	,84.4	,-	,6.65,2016,UEC,2	,-	,-	,90	
0.4	,14(2),-	,Juventus,1	,90.5	,3	,6.99,2013/2014,ISA,2.4	,-	,-	,1262	
0.3	,2(1),-	,Juventus,-	,89.9	,-	,6.30,2013/2014,UCL,2.3	,-	,-	,166	
-	,3,-	,Juventus,-	,89.4	,-	,7.52,2013/2014,UEL,1	,-	,-	,270	
0.4	,22,-	,Torino,1	,92.7	,2	,6.85,2012/2013,ISA,1.6	,-	,-	,1964	
0.3,183,0,,2,84.5,23,6.83,Total / Average,,2.3,2,1,15136
