ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.5	,7(1),-	,Aston Villa,-	,74.3	,-	,7.05,2019/2020,EPL,1	,2	,3	,564	
1.9	,28(6),2	,Aston Villa,1	,81.4	,5	,6.85,2018/2019,EC,0.9	,6	,6	,2450	
2.3	,19(8),2	,Lille,-	,77.7	,2	,6.64,2017/2018,FL1,0.6	,4	,4	,1648	
1.6	,7(5),-	,Ajax,-	,81.5	,-	,6.85,2016/2017,NE,0.6	,-	,2	,621	
1.5	,7(5),-	,Lille,-	,75.9	,2	,6.29,2016/2017,FL1,1.8	,1	,-	,692	
1.5	,1(1),-	,Ajax,-	,75.7	,-	,6.94,2016/2017,UEL,2	,1	,-	,94	
1.8	,4(1),-	,Ajax,-	,86.4	,-	,6.52,2015/2016,UEL,0.2	,-	,-	,318	
2.1	,20(7),2	,Ajax,1	,75.6	,2	,7.12,2015/2016,NE,1.3	,11	,2	,1760	
1	,1(4),-	,Ajax,-	,57.5	,2	,6.34,2014/2015,UCL,0.4	,1	,-	,168	
2	,4,-	,Ajax,-	,79	,-	,6.77,2014/2015,UEL,1	,-	,-	,390	
2.3	,23(8),2	,Ajax,-	,76.7	,3	,7.21,2014/2015,NE,1.2	,9	,8	,2172	
2,167,8,,2,77.6,16,6.87,Total / Average,,1,35,25,10877
2.5	,7(1),-	,Aston Villa,-	,74.3	,-	,7.05,2019/2020,EPL,1	,2	,3	,564	
1.9	,28(6),2	,Aston Villa,1	,81.4	,5	,6.85,2018/2019,EC,0.9	,6	,6	,2450	
2.3	,19(8),2	,Lille,-	,77.7	,2	,6.64,2017/2018,FL1,0.6	,4	,4	,1648	
1.6	,7(5),-	,Ajax,-	,81.5	,-	,6.85,2016/2017,NE,0.6	,-	,2	,621	
1.5	,7(5),-	,Lille,-	,75.9	,2	,6.29,2016/2017,FL1,1.8	,1	,-	,692	
1.5	,1(1),-	,Ajax,-	,75.7	,-	,6.94,2016/2017,UEL,2	,1	,-	,94	
1.8	,4(1),-	,Ajax,-	,86.4	,-	,6.52,2015/2016,UEL,0.2	,-	,-	,318	
2.1	,20(7),2	,Ajax,1	,75.6	,2	,7.12,2015/2016,NE,1.3	,11	,2	,1760	
1	,1(4),-	,Ajax,-	,57.5	,2	,6.34,2014/2015,UCL,0.4	,1	,-	,168	
2	,4,-	,Ajax,-	,79	,-	,6.77,2014/2015,UEL,1	,-	,-	,390	
2.3	,23(8),2	,Ajax,-	,76.7	,3	,7.21,2014/2015,NE,1.2	,9	,8	,2172	
2,167,8,,2,77.6,16,6.87,Total / Average,,1,35,25,10877
