ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.3	,0(3),-	,Bournemouth,-	,68.2	,-	,6.34,2019/2020,EPL,0.3	,-	,-	,45	
2	,2,-	,Club Brugge,-	,75.5	,-	,6.65,2018/2019,UCL,-	,1	,-	,166	
2	,0(1),-	,Netherlands,-	,66.7	,-	,6.33,2018/2019,UNL,-	,-	,-	,22	
0.7	,5(7),-	,NEC Nijmegen,-	,80.8	,1	,6.36,2016/2017,NE,0.2	,1	,-	,582	
1,18,0,,0,77.3,1,6.38,Total / Average,,0.2,2,0,815
1.3	,0(3),-	,Bournemouth,-	,68.2	,-	,6.34,2019/2020,EPL,0.3	,-	,-	,45	
2	,2,-	,Club Brugge,-	,75.5	,-	,6.65,2018/2019,UCL,-	,1	,-	,166	
2	,0(1),-	,Netherlands,-	,66.7	,-	,6.33,2018/2019,UNL,-	,-	,-	,22	
0.7	,5(7),-	,NEC Nijmegen,-	,80.8	,1	,6.36,2016/2017,NE,0.2	,1	,-	,582	
1,18,0,,0,77.3,1,6.38,Total / Average,,0.2,2,0,815
