ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,7,-	,Leicester,-	,76.6	,1	,6.85,2019/2020,EPL,2.6	,-	,1	,630	
0.6	,36,4	,Leicester,-	,72.3	,4	,7.04,2018/2019,EPL,3.1	,-	,4	,3240	
0.3	,4,-	,England,-	,77.8	,-	,6.68,2018/2019,UNL,1.3	,-	,-	,390	
0.3	,20(4),1	,Leicester,1	,73.9	,1	,6.82,2017/2018,EPL,2.8	,-	,2	,1852	
2	,1(1),-	,Leicester,-	,79.1	,1	,6.40,2016/2017,UCL,1	,-	,-	,135	
0.6	,7(5),-	,Leicester,-	,68.8	,2	,6.69,2016/2017,EPL,2.3	,1	,-	,696	
0.8	,7(1),-	,Huddersfield,-	,78	,-	,6.84,2015/2016,EC,0.5	,-	,-	,661	
0.5,93,5,,1,73.5,9,6.88,Total / Average,,2.5,1,7,7604
0.4	,7,-	,Leicester,-	,76.6	,1	,6.85,2019/2020,EPL,2.6	,-	,1	,630	
0.6	,36,4	,Leicester,-	,72.3	,4	,7.04,2018/2019,EPL,3.1	,-	,4	,3240	
0.3	,4,-	,England,-	,77.8	,-	,6.68,2018/2019,UNL,1.3	,-	,-	,390	
0.3	,20(4),1	,Leicester,1	,73.9	,1	,6.82,2017/2018,EPL,2.8	,-	,2	,1852	
2	,1(1),-	,Leicester,-	,79.1	,1	,6.40,2016/2017,UCL,1	,-	,-	,135	
0.6	,7(5),-	,Leicester,-	,68.8	,2	,6.69,2016/2017,EPL,2.3	,1	,-	,696	
0.8	,7(1),-	,Huddersfield,-	,78	,-	,6.84,2015/2016,EC,0.5	,-	,-	,661	
0.5,93,5,,1,73.5,9,6.88,Total / Average,,2.5,1,7,7604
