ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,1(2),-	,Tottenham,-	,79.1	,-	,6.32,2019/2020,EPL,1.3	,-	,-	,106	
-	,2,-	,Tottenham,-	,85.3	,-	,6.96,2019/2020,UCL,0.5	,-	,1	,180	
0.5	,20(7),1	,Tottenham,-	,82.8	,2	,6.69,2018/2019,EPL,1.7	,-	,-	,1839	
0.6	,6(3),-	,Tottenham,-	,81.3	,-	,6.63,2018/2019,UCL,1.4	,-	,1	,567	
-	,3,-	,Wales,-	,77.2	,2	,6.78,2018/2019,UNL,2.7	,-	,1	,261	
0.2	,5,-	,Tottenham,-	,76.7	,1	,6.77,2017/2018,UCL,1.4	,-	,-	,450	
0.6	,26(3),1	,Tottenham,-	,80.1	,3	,7.08,2017/2018,EPL,1.6	,2	,6	,2325	
1	,3,-	,Tottenham,-	,80	,-	,6.95,2016/2017,UCL,4.3	,-	,-	,270	
0.6	,18(5),-	,Tottenham,-	,79.3	,1	,7.12,2016/2017,EPL,2.1	,1	,3	,1735	
0.5	,2,-	,Tottenham,-	,83.8	,-	,6.87,2016/2017,UEL,1.5	,-	,-	,148	
0.3	,8,-	,Tottenham,-	,78.8	,2	,7.02,2015/2016,UEL,0.4	,-	,1	,643	
0.5	,14(3),-	,Tottenham,-	,76.2	,3	,6.88,2015/2016,EPL,1.5	,-	,2	,1288	
0.1	,7,-	,Tottenham,-	,81.1	,3	,7.02,2014/2015,UEL,1.4	,-	,-	,630	
0.1	,9(5),-	,Tottenham,-	,80	,3	,6.69,2014/2015,EPL,1.4	,-	,1	,891	
-	,5,-	,Wales,-	,79.5	,2	,7.43,2016,UEC,2	,-	,-	,450	
-	,4(1),-	,Swansea,-	,87.5	,1	,7.43,2013/2014,UEL,1.6	,-	,-	,394	
0.3	,32(2),-	,Swansea,-	,84.3	,3	,6.91,2013/2014,EPL,1.6	,2	,1	,2874	
0.2	,33(4),1	,Swansea,-	,83.1	,5	,6.95,2012/2013,EPL,1.5	,1	,2	,3049	
0.4,233,3,,0,81.3,31,6.92,Total / Average,,1.6,6,19,18100
0.3	,1(2),-	,Tottenham,-	,79.1	,-	,6.32,2019/2020,EPL,1.3	,-	,-	,106	
-	,2,-	,Tottenham,-	,85.3	,-	,6.96,2019/2020,UCL,0.5	,-	,1	,180	
0.5	,20(7),1	,Tottenham,-	,82.8	,2	,6.69,2018/2019,EPL,1.7	,-	,-	,1839	
0.6	,6(3),-	,Tottenham,-	,81.3	,-	,6.63,2018/2019,UCL,1.4	,-	,1	,567	
-	,3,-	,Wales,-	,77.2	,2	,6.78,2018/2019,UNL,2.7	,-	,1	,261	
0.2	,5,-	,Tottenham,-	,76.7	,1	,6.77,2017/2018,UCL,1.4	,-	,-	,450	
0.6	,26(3),1	,Tottenham,-	,80.1	,3	,7.08,2017/2018,EPL,1.6	,2	,6	,2325	
1	,3,-	,Tottenham,-	,80	,-	,6.95,2016/2017,UCL,4.3	,-	,-	,270	
0.6	,18(5),-	,Tottenham,-	,79.3	,1	,7.12,2016/2017,EPL,2.1	,1	,3	,1735	
0.5	,2,-	,Tottenham,-	,83.8	,-	,6.87,2016/2017,UEL,1.5	,-	,-	,148	
0.3	,8,-	,Tottenham,-	,78.8	,2	,7.02,2015/2016,UEL,0.4	,-	,1	,643	
0.5	,14(3),-	,Tottenham,-	,76.2	,3	,6.88,2015/2016,EPL,1.5	,-	,2	,1288	
0.1	,7,-	,Tottenham,-	,81.1	,3	,7.02,2014/2015,UEL,1.4	,-	,-	,630	
0.1	,9(5),-	,Tottenham,-	,80	,3	,6.69,2014/2015,EPL,1.4	,-	,1	,891	
-	,5,-	,Wales,-	,79.5	,2	,7.43,2016,UEC,2	,-	,-	,450	
-	,4(1),-	,Swansea,-	,87.5	,1	,7.43,2013/2014,UEL,1.6	,-	,-	,394	
0.3	,32(2),-	,Swansea,-	,84.3	,3	,6.91,2013/2014,EPL,1.6	,2	,1	,2874	
0.2	,33(4),1	,Swansea,-	,83.1	,5	,6.95,2012/2013,EPL,1.5	,1	,2	,3049	
0.4,233,3,,0,81.3,31,6.92,Total / Average,,1.6,6,19,18100
