ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,4,-	,Arsenal,-	,75.9	,1	,6.84,2019/2020,EPL,-	,-	,1	,299	
2	,1,1	,Arsenal,-	,72	,-	,9.40,2019/2020,UEL,-	,1	,2	,90	
-	,0(1),-	,Arsenal,-	,-	,-	,6.10,2018/2019,EPL,-	,-	,-	,7	
2.5	,1(1),1	,Arsenal,-	,79.5	,-	,7.37,2018/2019,UEL,0.5	,-	,-	,112	
1.4,8,2,,0,66.8,1,7.20,Total / Average,,0.1,1,3,508
1	,4,-	,Arsenal,-	,75.9	,1	,6.84,2019/2020,EPL,-	,-	,1	,299	
2	,1,1	,Arsenal,-	,72	,-	,9.40,2019/2020,UEL,-	,1	,2	,90	
-	,0(1),-	,Arsenal,-	,-	,-	,6.10,2018/2019,EPL,-	,-	,-	,7	
2.5	,1(1),1	,Arsenal,-	,79.5	,-	,7.37,2018/2019,UEL,0.5	,-	,-	,112	
1.4,8,2,,0,66.8,1,7.20,Total / Average,,0.1,1,3,508
