ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.5	,7(1),-	,Sheffield Uni..,-	,87.8	,-	,6.37,2019/2020,EPL,0.3	,1	,-	,489	
3	,24(3),4	,Preston,-	,74	,1	,7.09,2018/2019,EC,0.4	,12	,3	,2044	
0.8	,2(2),-	,Ireland,-	,72	,-	,6.12,2018/2019,UNL,0.3	,-	,-	,186	
2.3	,30(11),1	,Preston,-	,71.1	,1	,6.79,2017/2018,EC,0.4	,7	,7	,2570	
2.3	,34(8),2	,Preston,-	,72	,4	,6.87,2016/2017,EC,0.3	,10	,4	,2977	
1.1	,4(10),-	,Preston,-	,64.4	,2	,6.27,2015/2016,EC,0.2	,2	,-	,518	
0.8	,1(5),-	,Bristol City,-	,80.5	,-	,6.14,2015/2016,EC,0.5	,-	,-	,151	
0.3	,0(4),-	,Aston Villa,-	,83.3	,-	,5.99,2013/2014,EPL,-	,-	,-	,46	
2.1,146,7,,0,72.9,8,6.73,Total / Average,,0.3,32,14,8981
1.5	,7(1),-	,Sheffield Uni..,-	,87.8	,-	,6.37,2019/2020,EPL,0.3	,1	,-	,489	
3	,24(3),4	,Preston,-	,74	,1	,7.09,2018/2019,EC,0.4	,12	,3	,2044	
0.8	,2(2),-	,Ireland,-	,72	,-	,6.12,2018/2019,UNL,0.3	,-	,-	,186	
2.3	,30(11),1	,Preston,-	,71.1	,1	,6.79,2017/2018,EC,0.4	,7	,7	,2570	
2.3	,34(8),2	,Preston,-	,72	,4	,6.87,2016/2017,EC,0.3	,10	,4	,2977	
1.1	,4(10),-	,Preston,-	,64.4	,2	,6.27,2015/2016,EC,0.2	,2	,-	,518	
0.8	,1(5),-	,Bristol City,-	,80.5	,-	,6.14,2015/2016,EC,0.5	,-	,-	,151	
0.3	,0(4),-	,Aston Villa,-	,83.3	,-	,5.99,2013/2014,EPL,-	,-	,-	,46	
2.1,146,7,,0,72.9,8,6.73,Total / Average,,0.3,32,14,8981
