ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.9	,6(1),-	,Southampton,-	,63.5	,-	,6.34,2019/2020,EPL,1.7	,-	,-	,459	
2.5	,43(3),4	,Birmingham,-	,68.4	,5	,7.07,2018/2019,EC,0.8	,22	,4	,3740	
1.6	,16(14),1	,Birmingham,1	,67.6	,1	,6.48,2017/2018,EC,0.7	,5	,2	,1538	
1.9	,28(12),3	,Birmingham,1	,73.1	,3	,6.70,2016/2017,EC,0.7	,7	,3	,2614	
2,123,8,,2,69.5,9,6.76,Total / Average,,0.8,34,9,8351
1.9	,6(1),-	,Southampton,-	,63.5	,-	,6.34,2019/2020,EPL,1.7	,-	,-	,459	
2.5	,43(3),4	,Birmingham,-	,68.4	,5	,7.07,2018/2019,EC,0.8	,22	,4	,3740	
1.6	,16(14),1	,Birmingham,1	,67.6	,1	,6.48,2017/2018,EC,0.7	,5	,2	,1538	
1.9	,28(12),3	,Birmingham,1	,73.1	,3	,6.70,2016/2017,EC,0.7	,7	,3	,2614	
2,123,8,,2,69.5,9,6.76,Total / Average,,0.8,34,9,8351
