ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.6	,7,-	,Crystal Palac..,-	,78.1	,1	,6.63,2019/2020,EPL,2.1	,-	,-	,589	
0.4	,6(1),-	,Senegal,-	,78.7	,1	,6.73,2019,ACoN,2.3	,-	,-	,637	
0.6	,21(10),-	,Crystal Palac..,-	,80.1	,3	,6.61,2018/2019,EPL,2.1	,-	,2	,1897	
0.7	,32(1),2	,West Ham,-	,76	,5	,6.80,2017/2018,EPL,3.7	,2	,3	,2803	
0.7	,31,1	,West Ham,-	,83.4	,3	,7.04,2016/2017,EPL,2.5	,1	,-	,2728	
-	,1(2),-	,Senegal,-	,89.2	,-	,6.29,2018,WC,1	,-	,-	,118	
1.3	,34,1	,West Ham,1	,79.6	,5	,7.26,2015/2016,EPL,2.6	,5	,2	,3010	
0.7	,2(1),-	,Senegal,-	,90	,-	,6.27,2015,ACoN,0.7	,-	,-	,186	
1.1	,30(1),4	,West Ham,-	,79	,5	,7.19,2014/2015,EPL,3.2	,4	,2	,2662	
0.2	,6,-	,Anderlecht,1	,90.7	,-	,6.54,2013/2014,UCL,1.8	,-	,-	,499	
0.2	,6,-	,Anderlecht,-	,88.1	,1	,6.70,2012/2013,UCL,0.7	,-	,-	,529	
0.8,192,8,,2,80.4,24,6.92,Total / Average,,2.6,12,9,15658
1.6	,7,-	,Crystal Palac..,-	,78.1	,1	,6.63,2019/2020,EPL,2.1	,-	,-	,589	
0.4	,6(1),-	,Senegal,-	,78.7	,1	,6.73,2019,ACoN,2.3	,-	,-	,637	
0.6	,21(10),-	,Crystal Palac..,-	,80.1	,3	,6.61,2018/2019,EPL,2.1	,-	,2	,1897	
0.7	,32(1),2	,West Ham,-	,76	,5	,6.80,2017/2018,EPL,3.7	,2	,3	,2803	
0.7	,31,1	,West Ham,-	,83.4	,3	,7.04,2016/2017,EPL,2.5	,1	,-	,2728	
-	,1(2),-	,Senegal,-	,89.2	,-	,6.29,2018,WC,1	,-	,-	,118	
1.3	,34,1	,West Ham,1	,79.6	,5	,7.26,2015/2016,EPL,2.6	,5	,2	,3010	
0.7	,2(1),-	,Senegal,-	,90	,-	,6.27,2015,ACoN,0.7	,-	,-	,186	
1.1	,30(1),4	,West Ham,-	,79	,5	,7.19,2014/2015,EPL,3.2	,4	,2	,2662	
0.2	,6,-	,Anderlecht,1	,90.7	,-	,6.54,2013/2014,UCL,1.8	,-	,-	,499	
0.2	,6,-	,Anderlecht,-	,88.1	,1	,6.70,2012/2013,UCL,0.7	,-	,-	,529	
0.8,192,8,,2,80.4,24,6.92,Total / Average,,2.6,12,9,15658
