ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,3(1),1	,Bournemouth,-	,86.3	,-	,6.44,2019/2020,EPL,1	,1	,-	,271	
0.2	,22,1	,Brentford,1	,87.3	,4	,6.89,2018/2019,EC,3.5	,-	,1	,1911	
0.2	,10(3),-	,Bournemouth,-	,79.8	,1	,6.47,2018/2019,EPL,2.4	,-	,1	,850	
-	,2,-	,Wales,-	,86.4	,-	,6.48,2018/2019,UNL,2.5	,-	,-	,180	
0.8	,17(4),1	,Brentford,-	,79.3	,4	,7.06,2017/2018,EC,4.6	,1	,-	,1707	
0.4,62,3,,1,82.9,9,6.82,Total / Average,,3.4,2,2,4919
0.5	,3(1),1	,Bournemouth,-	,86.3	,-	,6.44,2019/2020,EPL,1	,1	,-	,271	
0.2	,22,1	,Brentford,1	,87.3	,4	,6.89,2018/2019,EC,3.5	,-	,1	,1911	
0.2	,10(3),-	,Bournemouth,-	,79.8	,1	,6.47,2018/2019,EPL,2.4	,-	,1	,850	
-	,2,-	,Wales,-	,86.4	,-	,6.48,2018/2019,UNL,2.5	,-	,-	,180	
0.8	,17(4),1	,Brentford,-	,79.3	,4	,7.06,2017/2018,EC,4.6	,1	,-	,1707	
0.4,62,3,,1,82.9,9,6.82,Total / Average,,3.4,2,2,4919
