ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,4(3),-	,Newcastle Uni..,-	,80.8	,1	,6.63,2019/2020,EPL,0.7	,-	,2	,439	
1.5	,2,-	,Ghana,-	,88	,-	,6.14,2019,ACoN,0.5	,-	,-	,105	
1	,15(13),-	,Newcastle Uni..,-	,82.2	,2	,6.44,2018/2019,EPL,0.4	,1	,-	,1488	
1.3	,19(9),-	,Newcastle Uni..,-	,77.2	,1	,6.50,2017/2018,EPL,0.5	,2	,2	,1782	
1.1	,15(17),-	,Newcastle Uni..,-	,81	,2	,6.64,2016/2017,EC,0.5	,5	,3	,1571	
0.8	,3(9),-	,Malaga,-	,78.6	,-	,6.57,2015/2016,SLL,0.3	,2	,-	,386	
2	,6,2	,Ghana,-	,81	,-	,7.70,2015,ACoN,0.2	,2	,1	,533	
0.4	,3(4),-	,Everton,-	,76.6	,-	,6.17,2014/2015,UEL,0.3	,-	,-	,166	
0.8	,1(4),-	,Everton,-	,75.4	,-	,6.40,2014/2015,EPL,0.4	,-	,1	,110	
2.3	,27(1),-	,Vitesse,-	,85.7	,2	,7.24,2013/2014,NE,0.4	,5	,6	,2307	
3	,3,-	,Ghana,-	,81.1	,-	,6.80,2014,WC,1	,-	,-	,239	
0.9	,0(8),-	,FC Porto,-	,91.1	,-	,6.40,2012/2013,UCL,0.1	,-	,1	,135	
1.3,166,2,,0,81.4,8,6.67,Total / Average,,0.4,17,16,9261
0.4	,4(3),-	,Newcastle Uni..,-	,80.8	,1	,6.63,2019/2020,EPL,0.7	,-	,2	,439	
1.5	,2,-	,Ghana,-	,88	,-	,6.14,2019,ACoN,0.5	,-	,-	,105	
1	,15(13),-	,Newcastle Uni..,-	,82.2	,2	,6.44,2018/2019,EPL,0.4	,1	,-	,1488	
1.3	,19(9),-	,Newcastle Uni..,-	,77.2	,1	,6.50,2017/2018,EPL,0.5	,2	,2	,1782	
1.1	,15(17),-	,Newcastle Uni..,-	,81	,2	,6.64,2016/2017,EC,0.5	,5	,3	,1571	
0.8	,3(9),-	,Malaga,-	,78.6	,-	,6.57,2015/2016,SLL,0.3	,2	,-	,386	
2	,6,2	,Ghana,-	,81	,-	,7.70,2015,ACoN,0.2	,2	,1	,533	
0.4	,3(4),-	,Everton,-	,76.6	,-	,6.17,2014/2015,UEL,0.3	,-	,-	,166	
0.8	,1(4),-	,Everton,-	,75.4	,-	,6.40,2014/2015,EPL,0.4	,-	,1	,110	
2.3	,27(1),-	,Vitesse,-	,85.7	,2	,7.24,2013/2014,NE,0.4	,5	,6	,2307	
3	,3,-	,Ghana,-	,81.1	,-	,6.80,2014,WC,1	,-	,-	,239	
0.9	,0(8),-	,FC Porto,-	,91.1	,-	,6.40,2012/2013,UCL,0.1	,-	,1	,135	
1.3,166,2,,0,81.4,8,6.67,Total / Average,,0.4,17,16,9261
