ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,2(1),-	,Leicester,-	,77	,-	,6.43,2019/2020,EPL,0.3	,-	,-	,184	
0.7	,2(1),-	,Leicester,-	,83.1	,-	,6.59,2018/2019,EPL,1	,-	,-	,206	
0.4	,21(4),2	,Leicester,-	,74.1	,1	,6.81,2017/2018,EPL,2.4	,-	,1	,1918	
0.4	,9,1	,Leicester,-	,68.2	,1	,7.23,2016/2017,UCL,1.8	,-	,1	,810	
0.6	,35(1),2	,Leicester,-	,72.3	,10	,7.05,2016/2017,EPL,1.9	,2	,4	,3104	
0.6	,30(2),4	,Leicester,-	,72.4	,4	,7.50,2015/2016,EPL,1.5	,-	,4	,2710	
0.6	,20(5),2	,Schalke 04,-	,71.8	,3	,7.30,2014/2015,GB,3.5	,2	,4	,1713	
0.4	,5,1	,Schalke 04,-	,78.3	,1	,7.73,2014/2015,UCL,3.2	,1	,1	,438	
1	,3,-	,Austria,-	,70.4	,1	,6.94,2016,UEC,2.7	,-	,-	,270	
0.8	,2(3),-	,Schalke 04,-	,74.2	,1	,6.50,2013/2014,UCL,0.8	,-	,2	,201	
0.4	,9(7),-	,Schalke 04,1	,72	,1	,6.86,2013/2014,GB,3	,-	,2	,856	
0.7	,23(6),-	,Schalke 04,-	,77.8	,7	,6.92,2012/2013,GB,1.3	,-	,5	,2144	
1.5	,5(1),1	,Schalke 04,-	,78.2	,1	,7.47,2012/2013,UCL,1.3	,1	,-	,495	
0.9	,29,1	,Schalke 04,-	,76.3	,5	,7.58,2011/2012,GB,1.3	,2	,7	,2610	
1.1	,30(1),2	,Mainz 05,-	,71	,6	,7.43,2010/2011,GB,1.1	,-	,8	,2649	
1.2	,29(2),2	,Bochum,-	,71.8	,3	,6.90,2009/2010,GB,0.3	,4	,3	,2594	
0.8,288,18,,1,73.4,45,7.16,Total / Average,,1.7,12,42,22902
0.7	,2(1),-	,Leicester,-	,77	,-	,6.43,2019/2020,EPL,0.3	,-	,-	,184	
0.7	,2(1),-	,Leicester,-	,83.1	,-	,6.59,2018/2019,EPL,1	,-	,-	,206	
0.4	,21(4),2	,Leicester,-	,74.1	,1	,6.81,2017/2018,EPL,2.4	,-	,1	,1918	
0.4	,9,1	,Leicester,-	,68.2	,1	,7.23,2016/2017,UCL,1.8	,-	,1	,810	
0.6	,35(1),2	,Leicester,-	,72.3	,10	,7.05,2016/2017,EPL,1.9	,2	,4	,3104	
0.6	,30(2),4	,Leicester,-	,72.4	,4	,7.50,2015/2016,EPL,1.5	,-	,4	,2710	
0.6	,20(5),2	,Schalke 04,-	,71.8	,3	,7.30,2014/2015,GB,3.5	,2	,4	,1713	
0.4	,5,1	,Schalke 04,-	,78.3	,1	,7.73,2014/2015,UCL,3.2	,1	,1	,438	
1	,3,-	,Austria,-	,70.4	,1	,6.94,2016,UEC,2.7	,-	,-	,270	
0.8	,2(3),-	,Schalke 04,-	,74.2	,1	,6.50,2013/2014,UCL,0.8	,-	,2	,201	
0.4	,9(7),-	,Schalke 04,1	,72	,1	,6.86,2013/2014,GB,3	,-	,2	,856	
0.7	,23(6),-	,Schalke 04,-	,77.8	,7	,6.92,2012/2013,GB,1.3	,-	,5	,2144	
1.5	,5(1),1	,Schalke 04,-	,78.2	,1	,7.47,2012/2013,UCL,1.3	,1	,-	,495	
0.9	,29,1	,Schalke 04,-	,76.3	,5	,7.58,2011/2012,GB,1.3	,2	,7	,2610	
1.1	,30(1),2	,Mainz 05,-	,71	,6	,7.43,2010/2011,GB,1.1	,-	,8	,2649	
1.2	,29(2),2	,Bochum,-	,71.8	,3	,6.90,2009/2010,GB,0.3	,4	,3	,2594	
0.8,288,18,,1,73.4,45,7.16,Total / Average,,1.7,12,42,22902
