ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,4,1	,Watford,-	,71.6	,-	,7.46,2019/2020,EPL,3.3	,-	,-	,360	
0.4	,19(2),1	,Watford,1	,73.9	,2	,6.67,2018/2019,EPL,2.9	,-	,-	,1587	
0.4	,27(1),2	,Watford,-	,74.8	,5	,6.93,2017/2018,EPL,3.7	,2	,-	,2332	
0.4	,7(9),-	,Watford,-	,65.4	,1	,6.48,2016/2017,EPL,1.1	,2	,-	,767	
0.4,69,4,,1,72.1,8,6.78,Total / Average,,2.8,4,0,5046
0.3	,4,1	,Watford,-	,71.6	,-	,7.46,2019/2020,EPL,3.3	,-	,-	,360	
0.4	,19(2),1	,Watford,1	,73.9	,2	,6.67,2018/2019,EPL,2.9	,-	,-	,1587	
0.4	,27(1),2	,Watford,-	,74.8	,5	,6.93,2017/2018,EPL,3.7	,2	,-	,2332	
0.4	,7(9),-	,Watford,-	,65.4	,1	,6.48,2016/2017,EPL,1.1	,2	,-	,767	
0.4,69,4,,1,72.1,8,6.78,Total / Average,,2.8,4,0,5046
