ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,2,-	,Newcastle Uni..,-	,67.6	,1	,6.79,2019/2020,EPL,1	,-	,-	,180	
0.6	,9(2),1	,Newcastle Uni..,-	,75	,1	,7.06,2018/2019,EPL,3.9	,3	,-	,858	
-	,1,-	,Ireland,-	,62.1	,1	,5.86,2018/2019,UNL,2	,-	,-	,90	
0.6	,19(1),-	,Newcastle Uni..,-	,71.7	,3	,6.79,2017/2018,EPL,2.1	,2	,1	,1745	
0.7	,34,1	,Newcastle Uni..,-	,78.6	,3	,7.32,2016/2017,EC,3.7	,3	,2	,3034	
0.6	,16(2),-	,Aston Villa,-	,76	,6	,6.87,2015/2016,EPL,2.8	,1	,-	,1442	
0.6	,22(3),2	,Aston Villa,1	,79	,8	,7.12,2014/2015,EPL,3	,1	,2	,1994	
1	,2,-	,Ireland,-	,84	,-	,6.14,2016,UEC,1	,-	,-	,180	
0.5	,23(4),1	,Aston Villa,-	,72.9	,8	,6.87,2013/2014,EPL,2.4	,-	,-	,2203	
0.4	,28(1),-	,Aston Villa,1	,80.5	,6	,6.82,2012/2013,EPL,2.6	,1	,-	,2498	
0.5	,13(2),1	,Aston Villa,-	,80.6	,3	,6.75,2011/2012,EPL,0.5	,1	,2	,1149	
0.6	,16(3),-	,Aston Villa,-	,76.9	,9	,6.99,2010/2011,EPL,1.6	,3	,-	,1567	
1	,1,-	,Aston Villa,-	,84.8	,-	,7.58,2009/2010,EPL,2	,-	,-	,90	
0.6,204,6,,2,77,49,6.96,Total / Average,,2.6,15,7,17030
0.5	,2,-	,Newcastle Uni..,-	,67.6	,1	,6.79,2019/2020,EPL,1	,-	,-	,180	
0.6	,9(2),1	,Newcastle Uni..,-	,75	,1	,7.06,2018/2019,EPL,3.9	,3	,-	,858	
-	,1,-	,Ireland,-	,62.1	,1	,5.86,2018/2019,UNL,2	,-	,-	,90	
0.6	,19(1),-	,Newcastle Uni..,-	,71.7	,3	,6.79,2017/2018,EPL,2.1	,2	,1	,1745	
0.7	,34,1	,Newcastle Uni..,-	,78.6	,3	,7.32,2016/2017,EC,3.7	,3	,2	,3034	
0.6	,16(2),-	,Aston Villa,-	,76	,6	,6.87,2015/2016,EPL,2.8	,1	,-	,1442	
0.6	,22(3),2	,Aston Villa,1	,79	,8	,7.12,2014/2015,EPL,3	,1	,2	,1994	
1	,2,-	,Ireland,-	,84	,-	,6.14,2016,UEC,1	,-	,-	,180	
0.5	,23(4),1	,Aston Villa,-	,72.9	,8	,6.87,2013/2014,EPL,2.4	,-	,-	,2203	
0.4	,28(1),-	,Aston Villa,1	,80.5	,6	,6.82,2012/2013,EPL,2.6	,1	,-	,2498	
0.5	,13(2),1	,Aston Villa,-	,80.6	,3	,6.75,2011/2012,EPL,0.5	,1	,2	,1149	
0.6	,16(3),-	,Aston Villa,-	,76.9	,9	,6.99,2010/2011,EPL,1.6	,3	,-	,1567	
1	,1,-	,Aston Villa,-	,84.8	,-	,7.58,2009/2010,EPL,2	,-	,-	,90	
0.6,204,6,,2,77,49,6.96,Total / Average,,2.6,15,7,17030
