ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(2),-	,Crystal Palac..,-	,50	,-	,6.03,2019/2020,EPL,1	,-	,-	,15	
0.8	,0(6),-	,Crystal Palac..,-	,45.5	,-	,6.16,2018/2019,EPL,1.2	,-	,1	,61	
1.3	,4(4),-	,Crystal Palac..,-	,72.4	,1	,6.52,2016/2017,EPL,2	,2	,-	,411	
1.6	,15(6),1	,Crystal Palac..,-	,66.7	,1	,6.68,2015/2016,EPL,2.6	,5	,3	,1327	
2.3	,31(5),-	,Sunderland,-	,65	,8	,6.81,2014/2015,EPL,2.8	,5	,1	,2774	
2.4	,5,-	,Leeds,-	,64.4	,-	,6.73,2013/2014,EC,1.2	,-	,1	,446	
4.7	,11,2	,Sheffield Wed..,-	,60.1	,2	,7.59,2013/2014,EC,2.9	,8	,2	,990	
1.7	,10(5),2	,Sunderland,-	,68.5	,1	,6.81,2013/2014,EPL,1.7	,5	,1	,848	
3.3	,2(1),-	,England U21,-	,73.6	,-	,6.63,2013,IEU,3.7	,-	,-	,217	
1.1	,3(9),-	,Sunderland,-	,63	,-	,6.26,2012/2013,EPL,1.7	,-	,-	,451	
0.9	,5(11),-	,Sunderland,-	,67.7	,-	,6.37,2011/2012,EPL,0.6	,1	,-	,520	
1.9,135,5,,0,64.9,13,6.69,Total / Average,,2.1,26,9,8060
-	,0(2),-	,Crystal Palac..,-	,50	,-	,6.03,2019/2020,EPL,1	,-	,-	,15	
0.8	,0(6),-	,Crystal Palac..,-	,45.5	,-	,6.16,2018/2019,EPL,1.2	,-	,1	,61	
1.3	,4(4),-	,Crystal Palac..,-	,72.4	,1	,6.52,2016/2017,EPL,2	,2	,-	,411	
1.6	,15(6),1	,Crystal Palac..,-	,66.7	,1	,6.68,2015/2016,EPL,2.6	,5	,3	,1327	
2.3	,31(5),-	,Sunderland,-	,65	,8	,6.81,2014/2015,EPL,2.8	,5	,1	,2774	
2.4	,5,-	,Leeds,-	,64.4	,-	,6.73,2013/2014,EC,1.2	,-	,1	,446	
4.7	,11,2	,Sheffield Wed..,-	,60.1	,2	,7.59,2013/2014,EC,2.9	,8	,2	,990	
1.7	,10(5),2	,Sunderland,-	,68.5	,1	,6.81,2013/2014,EPL,1.7	,5	,1	,848	
3.3	,2(1),-	,England U21,-	,73.6	,-	,6.63,2013,IEU,3.7	,-	,-	,217	
1.1	,3(9),-	,Sunderland,-	,63	,-	,6.26,2012/2013,EPL,1.7	,-	,-	,451	
0.9	,5(11),-	,Sunderland,-	,67.7	,-	,6.37,2011/2012,EPL,0.6	,1	,-	,520	
1.9,135,5,,0,64.9,13,6.69,Total / Average,,2.1,26,9,8060
