ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,7,-	,Watford,-	,83.7	,1	,6.53,2019/2020,EPL,2.9	,-	,-	,630	
0.4	,35(1),2	,Watford,-	,81.5	,2	,6.66,2018/2019,EPL,2.4	,3	,-	,3099	
0.3	,3,-	,N.Ireland,-	,83.4	,-	,6.21,2018/2019,UNL,3	,-	,-	,270	
0.3	,5(2),-	,Watford,-	,77.3	,1	,6.61,2017/2018,EPL,1.4	,-	,-	,495	
0.2	,13(2),-	,Watford,-	,75.5	,3	,6.62,2016/2017,EPL,1.5	,-	,1	,1162	
0.1	,34(1),1	,Watford,-	,70.1	,3	,6.70,2015/2016,EPL,1.9	,1	,-	,3034	
0.3	,28(1),-	,Watford,-	,78.4	,7	,7.11,2014/2015,EC,2.2	,3	,2	,2529	
0.3	,4,-	,N.Ireland,-	,67.1	,1	,6.45,2016,UEC,1	,-	,-	,360	
0.6	,29(1),-	,Blackpool,-	,75.3	,2	,7.01,2013/2014,EC,2.8	,1	,1	,2621	
0.3	,28(2),-	,Blackpool,-	,83.6	,1	,6.74,2010/2011,EPL,1.5	,1	,-	,2390	
0.3,196,3,,0,77.6,21,6.78,Total / Average,,2.1,9,4,16590
-	,7,-	,Watford,-	,83.7	,1	,6.53,2019/2020,EPL,2.9	,-	,-	,630	
0.4	,35(1),2	,Watford,-	,81.5	,2	,6.66,2018/2019,EPL,2.4	,3	,-	,3099	
0.3	,3,-	,N.Ireland,-	,83.4	,-	,6.21,2018/2019,UNL,3	,-	,-	,270	
0.3	,5(2),-	,Watford,-	,77.3	,1	,6.61,2017/2018,EPL,1.4	,-	,-	,495	
0.2	,13(2),-	,Watford,-	,75.5	,3	,6.62,2016/2017,EPL,1.5	,-	,1	,1162	
0.1	,34(1),1	,Watford,-	,70.1	,3	,6.70,2015/2016,EPL,1.9	,1	,-	,3034	
0.3	,28(1),-	,Watford,-	,78.4	,7	,7.11,2014/2015,EC,2.2	,3	,2	,2529	
0.3	,4,-	,N.Ireland,-	,67.1	,1	,6.45,2016,UEC,1	,-	,-	,360	
0.6	,29(1),-	,Blackpool,-	,75.3	,2	,7.01,2013/2014,EC,2.8	,1	,1	,2621	
0.3	,28(2),-	,Blackpool,-	,83.6	,1	,6.74,2010/2011,EPL,1.5	,1	,-	,2390	
0.3,196,3,,0,77.6,21,6.78,Total / Average,,2.1,9,4,16590
