ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.6	,4(1),-	,Watford,-	,77.1	,-	,6.60,2019/2020,EPL,0.2	,-	,1	,353	
0.6	,17(1),-	,Watford,-	,75.8	,3	,6.88,2018/2019,EPL,1.1	,-	,2	,1522	
-	,0(1),-	,Netherlands,-	,100	,-	,6.11,2018/2019,UNL,-	,-	,-	,8	
1	,21(2),1	,Watford,-	,75.9	,3	,6.76,2017/2018,EPL,1.2	,3	,-	,1822	
0.5	,2,-	,Newcastle Uni..,-	,87.7	,1	,6.55,2016/2017,EC,1	,-	,-	,173	
1	,18(9),-	,Watford,-	,73.8	,2	,6.55,2016/2017,EPL,0.8	,2	,1	,1613	
0.6	,32,1	,Newcastle Uni..,1	,73.8	,5	,6.85,2015/2016,EPL,0.8	,2	,4	,2755	
0.9	,37,3	,Newcastle Uni..,1	,74.4	,6	,6.90,2014/2015,EPL,0.9	,1	,6	,3255	
0.9	,30,1	,Feyenoord,-	,81.7	,2	,7.22,2013/2014,NE,1	,2	,5	,2641	
-	,3(2),-	,Netherlands,-	,75.9	,-	,7.33,2014,WC,0.8	,-	,2	,366	
0.8,180,6,,2,76.2,22,6.87,Total / Average,,0.9,10,21,14508
0.6	,4(1),-	,Watford,-	,77.1	,-	,6.60,2019/2020,EPL,0.2	,-	,1	,353	
0.6	,17(1),-	,Watford,-	,75.8	,3	,6.88,2018/2019,EPL,1.1	,-	,2	,1522	
-	,0(1),-	,Netherlands,-	,100	,-	,6.11,2018/2019,UNL,-	,-	,-	,8	
1	,21(2),1	,Watford,-	,75.9	,3	,6.76,2017/2018,EPL,1.2	,3	,-	,1822	
0.5	,2,-	,Newcastle Uni..,-	,87.7	,1	,6.55,2016/2017,EC,1	,-	,-	,173	
1	,18(9),-	,Watford,-	,73.8	,2	,6.55,2016/2017,EPL,0.8	,2	,1	,1613	
0.6	,32,1	,Newcastle Uni..,1	,73.8	,5	,6.85,2015/2016,EPL,0.8	,2	,4	,2755	
0.9	,37,3	,Newcastle Uni..,1	,74.4	,6	,6.90,2014/2015,EPL,0.9	,1	,6	,3255	
0.9	,30,1	,Feyenoord,-	,81.7	,2	,7.22,2013/2014,NE,1	,2	,5	,2641	
-	,3(2),-	,Netherlands,-	,75.9	,-	,7.33,2014,WC,0.8	,-	,2	,366	
0.8,180,6,,2,76.2,22,6.87,Total / Average,,0.9,10,21,14508
