ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.7	,5(1),-	,Sheffield Uni..,-	,80.4	,1	,6.56,2019/2020,EPL,2	,-	,-	,401	
2.6	,36(9),3	,Sheffield Uni..,-	,73.9	,5	,7.09,2018/2019,EC,2.9	,15	,4	,3263	
2.2	,18(4),-	,Ipswich,-	,73.6	,1	,6.85,2017/2018,EC,0.9	,6	,4	,1617	
3.1	,25(5),1	,Ipswich,-	,70.7	,4	,6.92,2016/2017,EC,2.7	,5	,3	,2381	
2.1	,9(15),-	,Ipswich,-	,71.4	,-	,6.50,2015/2016,EC,1.3	,4	,1	,1154	
3.6	,24(3),1	,Ipswich,-	,76.4	,5	,7.07,2014/2015,EC,1.7	,7	,3	,2184	
3.9	,30(1),4	,Ipswich,-	,75.3	,1	,7.14,2013/2014,EC,2	,14	,4	,2676	
2.9,185,9,,0,73.8,17,6.94,Total / Average,,2.1,51,19,13676
1.7	,5(1),-	,Sheffield Uni..,-	,80.4	,1	,6.56,2019/2020,EPL,2	,-	,-	,401	
2.6	,36(9),3	,Sheffield Uni..,-	,73.9	,5	,7.09,2018/2019,EC,2.9	,15	,4	,3263	
2.2	,18(4),-	,Ipswich,-	,73.6	,1	,6.85,2017/2018,EC,0.9	,6	,4	,1617	
3.1	,25(5),1	,Ipswich,-	,70.7	,4	,6.92,2016/2017,EC,2.7	,5	,3	,2381	
2.1	,9(15),-	,Ipswich,-	,71.4	,-	,6.50,2015/2016,EC,1.3	,4	,1	,1154	
3.6	,24(3),1	,Ipswich,-	,76.4	,5	,7.07,2014/2015,EC,1.7	,7	,3	,2184	
3.9	,30(1),4	,Ipswich,-	,75.3	,1	,7.14,2013/2014,EC,2	,14	,4	,2676	
2.9,185,9,,0,73.8,17,6.94,Total / Average,,2.1,51,19,13676
