ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,1,-	,Liverpool,-	,88.4	,-	,7.65,2019/2020,EPL,5	,-	,-	,90	
1	,1,-	,Liverpool,-	,92	,-	,6.24,2019/2020,UCL,5	,-	,-	,90	
0.5	,11(2),1	,Liverpool,-	,86.6	,1	,7.08,2018/2019,EPL,4.1	,1	,-	,986	
-	,2(1),-	,Liverpool,-	,88.7	,-	,6.44,2018/2019,UCL,0.3	,-	,-	,181	
0.3	,3,-	,Croatia,-	,82.3	,2	,6.72,2018/2019,UNL,3	,-	,-	,270	
0.5	,12,-	,Liverpool,-	,84.1	,2	,7.00,2017/2018,UCL,3.1	,-	,1	,1050	
0.5	,24(5),2	,Liverpool,-	,88.5	,4	,6.99,2017/2018,EPL,3.6	,2	,1	,2125	
0.5	,29,-	,Liverpool,-	,86.6	,6	,7.13,2016/2017,EPL,3.6	,2	,1	,2555	
0.9	,6(1),-	,Croatia,-	,84.9	,1	,6.72,2018,WC,5.3	,-	,-	,651	
0.8	,10,-	,Liverpool,-	,80.2	,3	,7.06,2015/2016,UEL,2	,1	,-	,900	
0.9	,22(2),1	,Liverpool,-	,84.6	,2	,6.97,2015/2016,EPL,3.3	,-	,-	,1898	
1	,4,-	,Liverpool,-	,84.4	,1	,7.06,2014/2015,UCL,4	,-	,-	,360	
1	,1(1),-	,Liverpool,-	,78.9	,1	,6.85,2014/2015,UEL,4	,-	,-	,148	
0.7	,22(4),1	,Liverpool,-	,85.2	,4	,6.98,2014/2015,EPL,3.7	,-	,-	,2036	
0.7	,31,2	,Southampton,-	,82	,7	,7.32,2013/2014,EPL,3.3	,2	,1	,2788	
0.3	,3,-	,Croatia,-	,93.3	,1	,6.66,2014,WC,3	,-	,-	,270	
1	,5,-	,Lyon,-	,81	,1	,6.57,2012/2013,UEL,1.6	,-	,-	,450	
0.6	,18,1	,Lyon,3	,87.3	,3	,6.87,2012/2013,FL1,2.1	,1	,-	,1561	
0.3	,6,-	,Lyon,-	,89	,1	,7.01,2011/2012,UCL,0.8	,-	,-	,452	
0.2	,18,1	,Lyon,1	,80.3	,3	,7.05,2011/2012,FL1,2.2	,1	,1	,1600	
1	,6,-	,Lyon,-	,82.5	,2	,7.11,2010/2011,UCL,2	,1	,-	,540	
0.6	,26(2),1	,Lyon,1	,80.1	,6	,6.94,2010/2011,FL1,1.9	,-	,-	,2346	
0.3	,8,-	,Lyon,-	,72.3	,-	,7.17,2009/2010,FL1,2.4	,-	,-	,682	
0.6,287,10,,5,84.1,51,7.02,Total / Average,,3,11,5,24029
1	,1,-	,Liverpool,-	,88.4	,-	,7.65,2019/2020,EPL,5	,-	,-	,90	
1	,1,-	,Liverpool,-	,92	,-	,6.24,2019/2020,UCL,5	,-	,-	,90	
0.5	,11(2),1	,Liverpool,-	,86.6	,1	,7.08,2018/2019,EPL,4.1	,1	,-	,986	
-	,2(1),-	,Liverpool,-	,88.7	,-	,6.44,2018/2019,UCL,0.3	,-	,-	,181	
0.3	,3,-	,Croatia,-	,82.3	,2	,6.72,2018/2019,UNL,3	,-	,-	,270	
0.5	,12,-	,Liverpool,-	,84.1	,2	,7.00,2017/2018,UCL,3.1	,-	,1	,1050	
0.5	,24(5),2	,Liverpool,-	,88.5	,4	,6.99,2017/2018,EPL,3.6	,2	,1	,2125	
0.5	,29,-	,Liverpool,-	,86.6	,6	,7.13,2016/2017,EPL,3.6	,2	,1	,2555	
0.9	,6(1),-	,Croatia,-	,84.9	,1	,6.72,2018,WC,5.3	,-	,-	,651	
0.8	,10,-	,Liverpool,-	,80.2	,3	,7.06,2015/2016,UEL,2	,1	,-	,900	
0.9	,22(2),1	,Liverpool,-	,84.6	,2	,6.97,2015/2016,EPL,3.3	,-	,-	,1898	
1	,4,-	,Liverpool,-	,84.4	,1	,7.06,2014/2015,UCL,4	,-	,-	,360	
1	,1(1),-	,Liverpool,-	,78.9	,1	,6.85,2014/2015,UEL,4	,-	,-	,148	
0.7	,22(4),1	,Liverpool,-	,85.2	,4	,6.98,2014/2015,EPL,3.7	,-	,-	,2036	
0.7	,31,2	,Southampton,-	,82	,7	,7.32,2013/2014,EPL,3.3	,2	,1	,2788	
0.3	,3,-	,Croatia,-	,93.3	,1	,6.66,2014,WC,3	,-	,-	,270	
1	,5,-	,Lyon,-	,81	,1	,6.57,2012/2013,UEL,1.6	,-	,-	,450	
0.6	,18,1	,Lyon,3	,87.3	,3	,6.87,2012/2013,FL1,2.1	,1	,-	,1561	
0.3	,6,-	,Lyon,-	,89	,1	,7.01,2011/2012,UCL,0.8	,-	,-	,452	
0.2	,18,1	,Lyon,1	,80.3	,3	,7.05,2011/2012,FL1,2.2	,1	,1	,1600	
1	,6,-	,Lyon,-	,82.5	,2	,7.11,2010/2011,UCL,2	,1	,-	,540	
0.6	,26(2),1	,Lyon,1	,80.1	,6	,6.94,2010/2011,FL1,1.9	,-	,-	,2346	
0.3	,8,-	,Lyon,-	,72.3	,-	,7.17,2009/2010,FL1,2.4	,-	,-	,682	
0.6,287,10,,5,84.1,51,7.02,Total / Average,,3,11,5,24029
