ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,6,-	,Bournemouth,-	,66.5	,1	,7.33,2019/2020,EPL,1.3	,-	,2	,540	
0.8	,5(7),-	,Bournemouth,-	,72.6	,1	,6.36,2018/2019,EPL,0.6	,-	,-	,606	
1	,26,1	,Leganes,1	,70.7	,8	,7.13,2017/2018,SLL,1.2	,2	,2	,2229	
0.6	,25,2	,Leganes,-	,74.2	,6	,7.01,2016/2017,SLL,1.4	,1	,-	,2222	
0.8,69,3,,1,71.9,16,6.97,Total / Average,,1.2,3,4,5597
0.5	,6,-	,Bournemouth,-	,66.5	,1	,7.33,2019/2020,EPL,1.3	,-	,2	,540	
0.8	,5(7),-	,Bournemouth,-	,72.6	,1	,6.36,2018/2019,EPL,0.6	,-	,-	,606	
1	,26,1	,Leganes,1	,70.7	,8	,7.13,2017/2018,SLL,1.2	,2	,2	,2229	
0.6	,25,2	,Leganes,-	,74.2	,6	,7.01,2016/2017,SLL,1.4	,1	,-	,2222	
0.8,69,3,,1,71.9,16,6.97,Total / Average,,1.2,3,4,5597
