ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1,-	,Watford,-	,100	,-	,5.71,2019/2020,EPL,-	,-	,-	,33	
0.5	,23(2),1	,Getafe,-	,62.8	,7	,6.59,2018/2019,SLL,1	,3	,2	,1809	
0.1	,13(3),-	,Strasbourg,-	,77.4	,2	,6.58,2017/2018,FL1,0.3	,-	,2	,1238	
0.1	,21(1),-	,Granada,-	,77.2	,5	,6.48,2016/2017,SLL,0.3	,-	,2	,1870	
0.3	,16(5),-	,Granada,-	,71.2	,5	,6.60,2015/2016,SLL,0.6	,1	,1	,1526	
0.3	,18(7),-	,Granada,-	,74.4	,6	,6.56,2014/2015,SLL,0.4	,-	,2	,1686	
0.2	,9(14),-	,Granada,-	,77.1	,-	,6.53,2013/2014,SLL,0.5	,-	,-	,1111	
-	,1(1),-	,Rennes,-	,58.3	,-	,6.10,2013/2014,FL1,0.5	,-	,-	,59	
0.1	,8(7),-	,Rennes,1	,76.9	,1	,6.59,2012/2013,FL1,0.7	,-	,-	,795	
-	,2,-	,Rennes,-	,75.9	,-	,6.64,2011/2012,FL1,-	,-	,-	,136	
0.2,152,1,,1,73.4,26,6.55,Total / Average,,0.6,4,9,10263
