ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.2	,5,1	,Chelsea,-	,84.1	,-	,7.22,2019/2020,EPL,1.4	,-	,-	,375	
0.5	,7(3),-	,Chelsea,-	,89.9	,-	,6.59,2018/2019,EPL,0.5	,-	,-	,660	
1.1	,11,-	,Chelsea,-	,89.6	,1	,7.24,2018/2019,UEL,0.8	,-	,2	,1020	
-	,0(1),-	,Italy,-	,84.6	,-	,6.41,2018/2019,UNL,-	,-	,-	,16	
-	,0(1),-	,Roma,-	,100	,-	,6.05,2017/2018,ISA,-	,-	,-	,16	
0.4	,3(2),-	,Chelsea,-	,80.2	,-	,6.64,2017/2018,EPL,0.6	,-	,1	,279	
0.7	,23(2),-	,Roma,-	,88	,1	,7.37,2016/2017,ISA,1.2	,-	,1	,1966	
1.2	,4(1),-	,Roma,-	,88.2	,1	,7.03,2016/2017,UEL,0.8	,1	,-	,373	
0.5	,1(7),-	,Roma,-	,84.3	,1	,6.36,2015/2016,ISA,0.4	,1	,-	,183	
-	,0(9),-	,Palermo,-	,74	,-	,6.21,2014/2015,ISA,0.1	,-	,-	,182	
0.3	,3,-	,Santos FC,-	,86	,-	,7.22,2014,BSA,1	,-	,1	,228	
0.4	,8(6),-	,Santos FC,-	,83.9	,2	,6.78,2013,BSA,0.4	,1	,2	,860	
0.6,97,1,,0,85.6,6,6.91,Total / Average,,0.7,3,7,6158
1.2	,5,1	,Chelsea,-	,84.1	,-	,7.22,2019/2020,EPL,1.4	,-	,-	,375	
0.5	,7(3),-	,Chelsea,-	,89.9	,-	,6.59,2018/2019,EPL,0.5	,-	,-	,660	
1.1	,11,-	,Chelsea,-	,89.6	,1	,7.24,2018/2019,UEL,0.8	,-	,2	,1020	
-	,0(1),-	,Italy,-	,84.6	,-	,6.41,2018/2019,UNL,-	,-	,-	,16	
-	,0(1),-	,Roma,-	,100	,-	,6.05,2017/2018,ISA,-	,-	,-	,16	
0.4	,3(2),-	,Chelsea,-	,80.2	,-	,6.64,2017/2018,EPL,0.6	,-	,1	,279	
0.7	,23(2),-	,Roma,-	,88	,1	,7.37,2016/2017,ISA,1.2	,-	,1	,1966	
1.2	,4(1),-	,Roma,-	,88.2	,1	,7.03,2016/2017,UEL,0.8	,1	,-	,373	
0.5	,1(7),-	,Roma,-	,84.3	,1	,6.36,2015/2016,ISA,0.4	,1	,-	,183	
-	,0(9),-	,Palermo,-	,74	,-	,6.21,2014/2015,ISA,0.1	,-	,-	,182	
0.3	,3,-	,Santos FC,-	,86	,-	,7.22,2014,BSA,1	,-	,1	,228	
0.4	,8(6),-	,Santos FC,-	,83.9	,2	,6.78,2013,BSA,0.4	,1	,2	,860	
0.6,97,1,,0,85.6,6,6.91,Total / Average,,0.7,3,7,6158
