ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.2	,9,1	,Norwich,-	,82.3	,1	,7.22,2019/2020,EPL,0.6	,-	,4	,803	
1.9	,35(3),6	,Norwich,1	,78.9	,6	,7.39,2018/2019,EC,0.6	,8	,12	,2863	
0.8	,6(11),-	,Getafe,1	,81.8	,5	,6.46,2015/2016,SLL,0.5	,1	,-	,740	
0.3	,1(5),-	,Getafe,-	,80.9	,1	,6.14,2014/2015,SLL,-	,-	,-	,127	
1.4,70,7,,2,80.2,13,7.03,Total / Average,,0.5,9,16,4533
1.2	,9,1	,Norwich,-	,82.3	,1	,7.22,2019/2020,EPL,0.6	,-	,4	,803	
1.9	,35(3),6	,Norwich,1	,78.9	,6	,7.39,2018/2019,EC,0.6	,8	,12	,2863	
0.8	,6(11),-	,Getafe,1	,81.8	,5	,6.46,2015/2016,SLL,0.5	,1	,-	,740	
0.3	,1(5),-	,Getafe,-	,80.9	,1	,6.14,2014/2015,SLL,-	,-	,-	,127	
1.4,70,7,,2,80.2,13,7.03,Total / Average,,0.5,9,16,4533
