ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.2	,9,1	,Newcastle Uni..,-	,69.9	,2	,6.97,2019/2020,EPL,1.4	,1	,-	,795	
1	,22(2),6	,Newcastle Uni..,-	,68.1	,12	,7.30,2018/2019,EPL,2.7	,4	,1	,2004	
0.6	,5,-	,Switzerland,-	,85	,3	,7.48,2018/2019,UNL,2.6	,-	,2	,480	
0.7	,25,-	,Deportivo La ..,-	,80.2	,10	,6.82,2017/2018,SLL,1.8	,2	,2	,2220	
0.3	,3(3),-	,Hoffenheim,-	,84.6	,2	,6.35,2016/2017,GB,0.7	,-	,-	,284	
0.3	,3,-	,Switzerland,-	,84.3	,2	,6.79,2018,WC,3	,-	,-	,270	
0.8	,20(4),-	,Hoffenheim,-	,78.8	,3	,6.67,2015/2016,GB,1.7	,1	,-	,1728	
0.9	,7,1	,FC Basel 1893,-	,80.5	,3	,6.95,2014/2015,UCL,1	,-	,-	,597	
1.8	,4,1	,Switzerland,-	,88.4	,2	,7.51,2016,UEC,2	,1	,-	,390	
0.7	,6,1	,FC Basel 1893,-	,79.4	,3	,7.61,2013/2014,UCL,1.8	,-	,1	,540	
0.5	,2,-	,FC Basel 1893,-	,69.5	,1	,6.69,2013/2014,UEL,3	,-	,-	,192	
0.5	,2,-	,Switzerland,-	,73.8	,-	,7.30,2014,WC,2	,-	,-	,210	
1.4	,12(1),2	,FC Basel 1893,-	,80.3	,4	,7.53,2012/2013,UEL,1.1	,4	,-	,1148	
0.9,130,12,,0,77.5,47,7.04,Total / Average,,1.8,13,6,10858
1.2	,9,1	,Newcastle Uni..,-	,69.9	,2	,6.97,2019/2020,EPL,1.4	,1	,-	,795	
1	,22(2),6	,Newcastle Uni..,-	,68.1	,12	,7.30,2018/2019,EPL,2.7	,4	,1	,2004	
0.6	,5,-	,Switzerland,-	,85	,3	,7.48,2018/2019,UNL,2.6	,-	,2	,480	
0.7	,25,-	,Deportivo La ..,-	,80.2	,10	,6.82,2017/2018,SLL,1.8	,2	,2	,2220	
0.3	,3(3),-	,Hoffenheim,-	,84.6	,2	,6.35,2016/2017,GB,0.7	,-	,-	,284	
0.3	,3,-	,Switzerland,-	,84.3	,2	,6.79,2018,WC,3	,-	,-	,270	
0.8	,20(4),-	,Hoffenheim,-	,78.8	,3	,6.67,2015/2016,GB,1.7	,1	,-	,1728	
0.9	,7,1	,FC Basel 1893,-	,80.5	,3	,6.95,2014/2015,UCL,1	,-	,-	,597	
1.8	,4,1	,Switzerland,-	,88.4	,2	,7.51,2016,UEC,2	,1	,-	,390	
0.7	,6,1	,FC Basel 1893,-	,79.4	,3	,7.61,2013/2014,UCL,1.8	,-	,1	,540	
0.5	,2,-	,FC Basel 1893,-	,69.5	,1	,6.69,2013/2014,UEL,3	,-	,-	,192	
0.5	,2,-	,Switzerland,-	,73.8	,-	,7.30,2014,WC,2	,-	,-	,210	
1.4	,12(1),2	,FC Basel 1893,-	,80.3	,4	,7.53,2012/2013,UEL,1.1	,4	,-	,1148	
0.9,130,12,,0,77.5,47,7.04,Total / Average,,1.8,13,6,10858
