ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,8(1),-	,Liverpool,-	,86.8	,4	,6.98,2019/2020,EPL,1.3	,-	,1	,736	
1	,3,-	,Liverpool,-	,89.7	,1	,7.27,2019/2020,UCL,1.3	,-	,1	,270	
0.6	,21(7),-	,Liverpool,-	,85.3	,6	,6.95,2018/2019,EPL,2	,1	,2	,2013	
0.3	,7(4),1	,Liverpool,-	,81.1	,3	,6.90,2018/2019,UCL,2	,-	,-	,727	
0.2	,5,-	,Monaco,-	,77.6	,2	,6.78,2017/2018,UCL,3.2	,-	,-	,450	
0.7	,34,6	,Monaco,-	,86.3	,8	,7.51,2017/2018,FL1,2.9	,7	,3	,3060	
0.8	,9(1),2	,Monaco,-	,85.1	,4	,7.41,2016/2017,UCL,1	,1	,3	,846	
0.8	,33(4),2	,Monaco,-	,84.4	,8	,7.51,2016/2017,FL1,1.8	,9	,1	,3071	
0.2	,5,-	,Monaco,-	,80.3	,3	,7.16,2015/2016,UEL,1	,-	,-	,450	
0.9	,34,1	,Monaco,-	,81.4	,9	,7.34,2015/2016,FL1,1.9	,6	,4	,3060	
0.4	,9(1),-	,Monaco,-	,71.4	,1	,7.13,2014/2015,UCL,1.1	,1	,-	,817	
0.5	,35(1),2	,Monaco,-	,81.5	,4	,7.38,2014/2015,FL1,1.4	,1	,-	,3169	
0.5	,21(5),1	,Monaco,-	,83.6	,3	,7.06,2013/2014,FL1,0.7	,-	,-	,1913	
-	,0(1),-	,Real Madrid,-	,94.1	,-	,6.62,2012/2013,SLL,-	,-	,1	,14	
0.6,249,15,,0,83.2,56,7.26,Total / Average,,1.8,26,16,20596
0.3	,8(1),-	,Liverpool,-	,86.8	,4	,6.98,2019/2020,EPL,1.3	,-	,1	,736	
1	,3,-	,Liverpool,-	,89.7	,1	,7.27,2019/2020,UCL,1.3	,-	,1	,270	
0.6	,21(7),-	,Liverpool,-	,85.3	,6	,6.95,2018/2019,EPL,2	,1	,2	,2013	
0.3	,7(4),1	,Liverpool,-	,81.1	,3	,6.90,2018/2019,UCL,2	,-	,-	,727	
0.2	,5,-	,Monaco,-	,77.6	,2	,6.78,2017/2018,UCL,3.2	,-	,-	,450	
0.7	,34,6	,Monaco,-	,86.3	,8	,7.51,2017/2018,FL1,2.9	,7	,3	,3060	
0.8	,9(1),2	,Monaco,-	,85.1	,4	,7.41,2016/2017,UCL,1	,1	,3	,846	
0.8	,33(4),2	,Monaco,-	,84.4	,8	,7.51,2016/2017,FL1,1.8	,9	,1	,3071	
0.2	,5,-	,Monaco,-	,80.3	,3	,7.16,2015/2016,UEL,1	,-	,-	,450	
0.9	,34,1	,Monaco,-	,81.4	,9	,7.34,2015/2016,FL1,1.9	,6	,4	,3060	
0.4	,9(1),-	,Monaco,-	,71.4	,1	,7.13,2014/2015,UCL,1.1	,1	,-	,817	
0.5	,35(1),2	,Monaco,-	,81.5	,4	,7.38,2014/2015,FL1,1.4	,1	,-	,3169	
0.5	,21(5),1	,Monaco,-	,83.6	,3	,7.06,2013/2014,FL1,0.7	,-	,-	,1913	
-	,0(1),-	,Real Madrid,-	,94.1	,-	,6.62,2012/2013,SLL,-	,-	,1	,14	
0.6,249,15,,0,83.2,56,7.26,Total / Average,,1.8,26,16,20596
