ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1(1),-	,West Ham,-	,75	,1	,5.64,2019/2020,EPL,1	,-	,-	,91	
0.5	,2,-	,Paraguay,1	,75.9	,1	,5.92,2019,ICA,1	,-	,-	,148	
0.8	,23,1	,West Ham,-	,79.4	,2	,6.98,2018/2019,EPL,3	,1	,-	,2014	
0.6	,8,-	,Corinthians,-	,85.6	,1	,7.05,2018,BSA,2.9	,-	,-	,720	
0.5	,32,4	,Corinthians,-	,85.7	,6	,7.27,2017,BSA,3.1	,4	,1	,2844	
0.9	,29,1	,Corinthians,1	,83.2	,7	,6.88,2016,BSA,3	,-	,2	,2538	
0.7,96,6,,2,83,18,7.00,Total / Average,,2.9,5,3,8355
-	,1(1),-	,West Ham,-	,75	,1	,5.64,2019/2020,EPL,1	,-	,-	,91	
0.5	,2,-	,Paraguay,1	,75.9	,1	,5.92,2019,ICA,1	,-	,-	,148	
0.8	,23,1	,West Ham,-	,79.4	,2	,6.98,2018/2019,EPL,3	,1	,-	,2014	
0.6	,8,-	,Corinthians,-	,85.6	,1	,7.05,2018,BSA,2.9	,-	,-	,720	
0.5	,32,4	,Corinthians,-	,85.7	,6	,7.27,2017,BSA,3.1	,4	,1	,2844	
0.9	,29,1	,Corinthians,1	,83.2	,7	,6.88,2016,BSA,3	,-	,2	,2538	
0.7,96,6,,2,83,18,7.00,Total / Average,,2.9,5,3,8355
