ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.8	,8,-	,West Ham,-	,76.6	,1	,7.39,2019/2020,EPL,0.4	,-	,3	,597	
1.6	,36,6	,West Ham,-	,76	,3	,7.23,2018/2019,EPL,0.3	,9	,4	,3054	
1.2	,9(12),3	,Lazio,-	,76.6	,-	,7.45,2017/2018,ISA,0.1	,4	,7	,1152	
1.7	,3(4),2	,Lazio,-	,78.7	,-	,7.69,2017/2018,UEL,0.3	,3	,3	,369	
2	,33(3),7	,Lazio,-	,74.9	,5	,7.62,2016/2017,ISA,0.5	,4	,9	,2919	
1.4	,21(14),3	,Lazio,-	,71.6	,2	,6.94,2015/2016,ISA,0.2	,7	,4	,2072	
2	,6(1),1	,Lazio,-	,73	,-	,7.28,2015/2016,UEL,-	,2	,-	,520	
2	,23(9),8	,Lazio,-	,77.4	,5	,7.47,2014/2015,ISA,0.2	,10	,7	,2097	
1.2	,7(6),-	,Lazio,-	,81.2	,1	,6.45,2013/2014,ISA,0.3	,-	,1	,529	
3.6	,4(1),-	,Lazio,-	,79.6	,-	,7.34,2013/2014,UEL,0.2	,1	,-	,282	
1	,1(2),-	,Santos FC,-	,76.7	,-	,6.40,2013,BSA,-	,-	,-	,77	
1.7,203,30,,0,75.8,17,7.27,Total / Average,,0.3,40,38,13668
1.8	,8,-	,West Ham,-	,76.6	,1	,7.39,2019/2020,EPL,0.4	,-	,3	,597	
1.6	,36,6	,West Ham,-	,76	,3	,7.23,2018/2019,EPL,0.3	,9	,4	,3054	
1.2	,9(12),3	,Lazio,-	,76.6	,-	,7.45,2017/2018,ISA,0.1	,4	,7	,1152	
1.7	,3(4),2	,Lazio,-	,78.7	,-	,7.69,2017/2018,UEL,0.3	,3	,3	,369	
2	,33(3),7	,Lazio,-	,74.9	,5	,7.62,2016/2017,ISA,0.5	,4	,9	,2919	
1.4	,21(14),3	,Lazio,-	,71.6	,2	,6.94,2015/2016,ISA,0.2	,7	,4	,2072	
2	,6(1),1	,Lazio,-	,73	,-	,7.28,2015/2016,UEL,-	,2	,-	,520	
2	,23(9),8	,Lazio,-	,77.4	,5	,7.47,2014/2015,ISA,0.2	,10	,7	,2097	
1.2	,7(6),-	,Lazio,-	,81.2	,1	,6.45,2013/2014,ISA,0.3	,-	,1	,529	
3.6	,4(1),-	,Lazio,-	,79.6	,-	,7.34,2013/2014,UEL,0.2	,1	,-	,282	
1	,1(2),-	,Santos FC,-	,76.7	,-	,6.40,2013,BSA,-	,-	,-	,77	
1.7,203,30,,0,75.8,17,7.27,Total / Average,,0.3,40,38,13668
