ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
3.7	,3(3),1	,Manchester Ci..,-	,87	,-	,7.28,2019/2020,EPL,1.5	,3	,1	,298	
2	,1(1),-	,Manchester Ci..,-	,88.9	,-	,7.22,2019/2020,UCL,0.5	,1	,-	,91	
2	,4(2),1	,Brazil,1	,73.2	,-	,7.31,2019,ICA,1	,2	,2	,430	
1.5	,8(21),1	,Manchester Ci..,-	,82.6	,1	,6.64,2018/2019,EPL,0.5	,7	,3	,1022	
3.5	,4(2),-	,Manchester Ci..,-	,82.4	,-	,7.20,2018/2019,UCL,0.7	,4	,-	,375	
1.2	,7(2),-	,Manchester Ci..,-	,78	,2	,6.81,2017/2018,UCL,0.6	,4	,-	,618	
1.9	,19(10),1	,Manchester Ci..,-	,79.7	,6	,7.05,2017/2018,EPL,0.7	,13	,3	,1673	
2.4	,8(2),1	,Manchester Ci..,-	,81.3	,2	,7.48,2016/2017,EPL,0.8	,7	,4	,651	
2.8	,26(1),6	,Palmeiras,-	,69.7	,11	,7.43,2016,BSA,1.9	,12	,5	,2319	
1.8	,5,-	,Brazil,-	,73	,-	,6.92,2018,WC,1.8	,-	,1	,407	
1.9	,12(8),1	,Palmeiras,-	,75.1	,5	,6.80,2015,BSA,1.1	,4	,3	,1300	
2.1,149,12,,1,77.9,27,7.04,Total / Average,,1,57,22,9184
3.7	,3(3),1	,Manchester Ci..,-	,87	,-	,7.28,2019/2020,EPL,1.5	,3	,1	,298	
2	,1(1),-	,Manchester Ci..,-	,88.9	,-	,7.22,2019/2020,UCL,0.5	,1	,-	,91	
2	,4(2),1	,Brazil,1	,73.2	,-	,7.31,2019,ICA,1	,2	,2	,430	
1.5	,8(21),1	,Manchester Ci..,-	,82.6	,1	,6.64,2018/2019,EPL,0.5	,7	,3	,1022	
3.5	,4(2),-	,Manchester Ci..,-	,82.4	,-	,7.20,2018/2019,UCL,0.7	,4	,-	,375	
1.2	,7(2),-	,Manchester Ci..,-	,78	,2	,6.81,2017/2018,UCL,0.6	,4	,-	,618	
1.9	,19(10),1	,Manchester Ci..,-	,79.7	,6	,7.05,2017/2018,EPL,0.7	,13	,3	,1673	
2.4	,8(2),1	,Manchester Ci..,-	,81.3	,2	,7.48,2016/2017,EPL,0.8	,7	,4	,651	
2.8	,26(1),6	,Palmeiras,-	,69.7	,11	,7.43,2016,BSA,1.9	,12	,5	,2319	
1.8	,5,-	,Brazil,-	,73	,-	,6.92,2018,WC,1.8	,-	,1	,407	
1.9	,12(8),1	,Palmeiras,-	,75.1	,5	,6.80,2015,BSA,1.1	,4	,3	,1300	
2.1,149,12,,1,77.9,27,7.04,Total / Average,,1,57,22,9184
