ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.4	,6(3),1	,Watford,-	,83.4	,1	,6.65,2019/2020,EPL,-	,-	,1	,537	
2	,26(4),3	,Watford,-	,77.4	,3	,6.84,2018/2019,EPL,0.1	,10	,5	,2083	
0.8	,5(5),-	,Barcelona,-	,81.1	,1	,6.80,2017/2018,SLL,0.2	,1	,1	,503	
1.3	,2(1),-	,Barcelona,-	,82.1	,-	,6.67,2017/2018,UCL,-	,-	,-	,147	
1.1	,5(2),1	,Watford,-	,74.6	,-	,6.80,2017/2018,EPL,-	,1	,-	,438	
2.2	,16(1),1	,AC Milan,-	,82.3	,4	,7.30,2016/2017,ISA,0.1	,4	,3	,1463	
0.6	,4(7),-	,Everton,-	,72	,1	,6.52,2016/2017,EPL,-	,-	,-	,458	
0.3	,16(10),-	,Everton,-	,73.6	,2	,6.81,2015/2016,EPL,-	,2	,8	,1385	
0.9	,10(7),-	,Sevilla,-	,72.8	,-	,6.71,2014/2015,SLL,0.1	,1	,5	,783	
1.6	,2(3),1	,Sevilla,-	,77.3	,-	,6.95,2014/2015,UEL,0.2	,-	,2	,202	
1.2	,9(16),1	,Everton,-	,78.5	,1	,6.62,2013/2014,EPL,-	,3	,3	,895	
-	,0(1),-	,Barcelona,-	,90.9	,-	,6.21,2012/2013,SLL,-	,-	,-	,25	
0.5	,0(2),-	,Barcelona,-	,42.9	,-	,6.08,2012/2013,UCL,-	,-	,-	,16	
-	,0(1),-	,Barcelona,-	,50	,-	,6.11,2011/2012,SLL,-	,-	,-	,26	
-	,0(1),-	,Barcelona,-	,66.7	,-	,6.11,2011/2012,UCL,-	,-	,-	,20	
1.3,165,8,,0,76.6,13,6.78,Total / Average,,0.1,22,28,8981
2.4	,6(3),1	,Watford,-	,83.4	,1	,6.65,2019/2020,EPL,-	,-	,1	,537	
2	,26(4),3	,Watford,-	,77.4	,3	,6.84,2018/2019,EPL,0.1	,10	,5	,2083	
0.8	,5(5),-	,Barcelona,-	,81.1	,1	,6.80,2017/2018,SLL,0.2	,1	,1	,503	
1.3	,2(1),-	,Barcelona,-	,82.1	,-	,6.67,2017/2018,UCL,-	,-	,-	,147	
1.1	,5(2),1	,Watford,-	,74.6	,-	,6.80,2017/2018,EPL,-	,1	,-	,438	
2.2	,16(1),1	,AC Milan,-	,82.3	,4	,7.30,2016/2017,ISA,0.1	,4	,3	,1463	
0.6	,4(7),-	,Everton,-	,72	,1	,6.52,2016/2017,EPL,-	,-	,-	,458	
0.3	,16(10),-	,Everton,-	,73.6	,2	,6.81,2015/2016,EPL,-	,2	,8	,1385	
0.9	,10(7),-	,Sevilla,-	,72.8	,-	,6.71,2014/2015,SLL,0.1	,1	,5	,783	
1.6	,2(3),1	,Sevilla,-	,77.3	,-	,6.95,2014/2015,UEL,0.2	,-	,2	,202	
1.2	,9(16),1	,Everton,-	,78.5	,1	,6.62,2013/2014,EPL,-	,3	,3	,895	
-	,0(1),-	,Barcelona,-	,90.9	,-	,6.21,2012/2013,SLL,-	,-	,-	,25	
0.5	,0(2),-	,Barcelona,-	,42.9	,-	,6.08,2012/2013,UCL,-	,-	,-	,16	
-	,0(1),-	,Barcelona,-	,50	,-	,6.11,2011/2012,SLL,-	,-	,-	,26	
-	,0(1),-	,Barcelona,-	,66.7	,-	,6.11,2011/2012,UCL,-	,-	,-	,20	
1.3,165,8,,0,76.6,13,6.78,Total / Average,,0.1,22,28,8981
