ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,3,-	,Norwich,-	,88.1	,-	,6.43,2019/2020,EPL,3.3	,-	,-	,270	
0.8	,6(3),-	,Norwich,-	,74.1	,-	,6.81,2018/2019,EC,3	,1	,-	,573	
0.7	,28(4),2	,Norwich,-	,75.9	,6	,6.95,2017/2018,EC,3.5	,1	,1	,2475	
0.6	,5(5),-	,Newcastle Uni..,-	,81	,1	,6.47,2016/2017,EC,1.2	,1	,-	,528	
0.5	,44,4	,Blackburn,1	,68.9	,8	,7.31,2015/2016,EC,4.8	,2	,2	,3909	
0.8	,31,1	,Blackburn,-	,63.6	,5	,7.18,2014/2015,EC,4.5	,1	,-	,2728	
0.9	,38,2	,Blackburn,2	,72.6	,6	,7.16,2013/2014,EC,4.2	,1	,1	,3284	
0.7	,19(4),-	,Blackburn,-	,73.4	,6	,6.66,2011/2012,EPL,1.2	,1	,-	,1823	
0.6	,5(2),-	,Blackburn,-	,70.2	,1	,6.32,2010/2011,EPL,1.6	,-	,-	,443	
1	,1,-	,Blackburn,-	,40	,-	,7.54,2009/2010,EPL,4	,-	,-	,90	
0.7,198,9,,3,71.5,33,7.01,Total / Average,,3.6,8,4,16123
0.7	,3,-	,Norwich,-	,88.1	,-	,6.43,2019/2020,EPL,3.3	,-	,-	,270	
0.8	,6(3),-	,Norwich,-	,74.1	,-	,6.81,2018/2019,EC,3	,1	,-	,573	
0.7	,28(4),2	,Norwich,-	,75.9	,6	,6.95,2017/2018,EC,3.5	,1	,1	,2475	
0.6	,5(5),-	,Newcastle Uni..,-	,81	,1	,6.47,2016/2017,EC,1.2	,1	,-	,528	
0.5	,44,4	,Blackburn,1	,68.9	,8	,7.31,2015/2016,EC,4.8	,2	,2	,3909	
0.8	,31,1	,Blackburn,-	,63.6	,5	,7.18,2014/2015,EC,4.5	,1	,-	,2728	
0.9	,38,2	,Blackburn,2	,72.6	,6	,7.16,2013/2014,EC,4.2	,1	,1	,3284	
0.7	,19(4),-	,Blackburn,-	,73.4	,6	,6.66,2011/2012,EPL,1.2	,1	,-	,1823	
0.6	,5(2),-	,Blackburn,-	,70.2	,1	,6.32,2010/2011,EPL,1.6	,-	,-	,443	
1	,1,-	,Blackburn,-	,40	,-	,7.54,2009/2010,EPL,4	,-	,-	,90	
0.7,198,9,,3,71.5,33,7.01,Total / Average,,3.6,8,4,16123
