ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,4(4),-	,Leicester,-	,87.3	,1	,6.37,2019/2020,EPL,0.3	,-	,1	,321	
0.4	,7(2),-	,Leicester,-	,84.6	,-	,6.76,2018/2019,EPL,0.6	,-	,-	,597	
-	,1,-	,England U21,1	,92.3	,-	,5.03,2019,IEU,-	,-	,-	,63	
0.3	,4(4),-	,Leicester,-	,84.1	,1	,6.27,2017/2018,EPL,-	,-	,1	,377	
0.2	,6(7),-	,Burton,-	,74.7	,1	,6.37,2016/2017,EC,0.4	,-	,1	,580	
0.3,39,0,,1,82,3,6.41,Total / Average,,0.3,0,3,1938
0.4	,4(4),-	,Leicester,-	,87.3	,1	,6.37,2019/2020,EPL,0.3	,-	,1	,321	
0.4	,7(2),-	,Leicester,-	,84.6	,-	,6.76,2018/2019,EPL,0.6	,-	,-	,597	
-	,1,-	,England U21,1	,92.3	,-	,5.03,2019,IEU,-	,-	,-	,63	
0.3	,4(4),-	,Leicester,-	,84.1	,1	,6.27,2017/2018,EPL,-	,-	,1	,377	
0.2	,6(7),-	,Burton,-	,74.7	,1	,6.37,2016/2017,EC,0.4	,-	,1	,580	
0.3,39,0,,1,82,3,6.41,Total / Average,,0.3,0,3,1938
