ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.5	,7(1),-	,Bournemouth,-	,77.2	,1	,6.65,2019/2020,EPL,-	,3	,-	,538	
2.6	,40(3),3	,Derby,-	,74.7	,10	,7.01,2018/2019,EC,0.2	,16	,4	,3456	
0.5	,1(1),-	,Wales,-	,76.2	,-	,7.01,2018/2019,UNL,-	,1	,-	,107	
2.2	,11(2),1	,Hull,-	,74	,-	,7.37,2017/2018,EC,0.2	,7	,3	,996	
2.3,66,4,,0,74.9,11,7.04,Total / Average,,0.2,27,7,5097
1.5	,7(1),-	,Bournemouth,-	,77.2	,1	,6.65,2019/2020,EPL,-	,3	,-	,538	
2.6	,40(3),3	,Derby,-	,74.7	,10	,7.01,2018/2019,EC,0.2	,16	,4	,3456	
0.5	,1(1),-	,Wales,-	,76.2	,-	,7.01,2018/2019,UNL,-	,1	,-	,107	
2.2	,11(2),1	,Hull,-	,74	,-	,7.37,2017/2018,EC,0.2	,7	,3	,996	
2.3,66,4,,0,74.9,11,7.04,Total / Average,,0.2,27,7,5097
