ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,8(1),-	,Tottenham,-	,91.8	,3	,6.67,2019/2020,EPL,0.4	,-	,-	,662	
-	,2,-	,Tottenham,-	,87.3	,1	,5.99,2019/2020,UCL,-	,-	,-	,171	
0.3	,17(9),1	,Tottenham,-	,91.8	,4	,6.55,2018/2019,EPL,0.5	,1	,-	,1592	
0.4	,8(2),-	,Tottenham,-	,90.4	,-	,6.64,2018/2019,UCL,0.7	,-	,-	,676	
-	,1,-	,England,-	,85.7	,1	,6.65,2018/2019,UNL,-	,-	,-	,90	
0.2	,5,-	,Tottenham,-	,92.1	,1	,7.01,2017/2018,UCL,0.6	,-	,-	,426	
0.2	,9(7),-	,Tottenham,-	,90	,-	,6.49,2017/2018,EPL,0.3	,-	,1	,772	
-	,2(2),-	,Tottenham,-	,93.9	,-	,6.75,2016/2017,UCL,0.3	,-	,-	,196	
0.3	,3(18),-	,Tottenham,-	,90.2	,1	,6.36,2016/2017,EPL,-	,1	,1	,480	
-	,1(1),-	,Tottenham,-	,88.6	,1	,6.38,2016/2017,UEL,-	,-	,-	,96	
-	,0(2),-	,Tottenham,-	,91.7	,-	,6.24,2015/2016,UEL,-	,-	,-	,17	
-	,0(1),-	,Tottenham,-	,100	,-	,6.12,2014/2015,UEL,-	,-	,-	,3	
0.3,99,1,,0,91,12,6.53,Total / Average,,0.3,2,2,5181
0.7	,8(1),-	,Tottenham,-	,91.8	,3	,6.67,2019/2020,EPL,0.4	,-	,-	,662	
-	,2,-	,Tottenham,-	,87.3	,1	,5.99,2019/2020,UCL,-	,-	,-	,171	
0.3	,17(9),1	,Tottenham,-	,91.8	,4	,6.55,2018/2019,EPL,0.5	,1	,-	,1592	
0.4	,8(2),-	,Tottenham,-	,90.4	,-	,6.64,2018/2019,UCL,0.7	,-	,-	,676	
-	,1,-	,England,-	,85.7	,1	,6.65,2018/2019,UNL,-	,-	,-	,90	
0.2	,5,-	,Tottenham,-	,92.1	,1	,7.01,2017/2018,UCL,0.6	,-	,-	,426	
0.2	,9(7),-	,Tottenham,-	,90	,-	,6.49,2017/2018,EPL,0.3	,-	,1	,772	
-	,2(2),-	,Tottenham,-	,93.9	,-	,6.75,2016/2017,UCL,0.3	,-	,-	,196	
0.3	,3(18),-	,Tottenham,-	,90.2	,1	,6.36,2016/2017,EPL,-	,1	,1	,480	
-	,1(1),-	,Tottenham,-	,88.6	,1	,6.38,2016/2017,UEL,-	,-	,-	,96	
-	,0(2),-	,Tottenham,-	,91.7	,-	,6.24,2015/2016,UEL,-	,-	,-	,17	
-	,0(1),-	,Tottenham,-	,100	,-	,6.12,2014/2015,UEL,-	,-	,-	,3	
0.3,99,1,,0,91,12,6.53,Total / Average,,0.3,2,2,5181
