ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.4	,5(3),-	,Leicester,-	,75.3	,-	,6.77,2019/2020,EPL,0.9	,1	,3	,413	
3.4	,26,2	,West Bromwich..,-	,77.8	,1	,7.24,2018/2019,EC,0.5	,9	,6	,2225	
2.5	,11(5),-	,Leicester,-	,77.2	,-	,6.70,2018/2019,EPL,0.4	,1	,2	,1010	
1	,1,-	,England U21,-	,96.2	,-	,6.08,2019,IEU,-	,-	,-	,46	
1.7	,18(5),3	,Barnsley,-	,71.4	,1	,6.77,2017/2018,EC,0.4	,5	,4	,1408	
0.3	,0(3),-	,Leicester,-	,100	,-	,6.02,2017/2018,EPL,0.3	,-	,-	,8	
-	,0(1),-	,Leicester,-	,80	,-	,6.15,2016/2017,UCL,-	,-	,-	,14	
2.3,78,5,,0,76.7,2,6.87,Total / Average,,0.5,16,15,5124
1.4	,5(3),-	,Leicester,-	,75.3	,-	,6.77,2019/2020,EPL,0.9	,1	,3	,413	
3.4	,26,2	,West Bromwich..,-	,77.8	,1	,7.24,2018/2019,EC,0.5	,9	,6	,2225	
2.5	,11(5),-	,Leicester,-	,77.2	,-	,6.70,2018/2019,EPL,0.4	,1	,2	,1010	
1	,1,-	,England U21,-	,96.2	,-	,6.08,2019,IEU,-	,-	,-	,46	
1.7	,18(5),3	,Barnsley,-	,71.4	,1	,6.77,2017/2018,EC,0.4	,5	,4	,1408	
0.3	,0(3),-	,Leicester,-	,100	,-	,6.02,2017/2018,EPL,0.3	,-	,-	,8	
-	,0(1),-	,Leicester,-	,80	,-	,6.15,2016/2017,UCL,-	,-	,-	,14	
2.3,78,5,,0,76.7,2,6.87,Total / Average,,0.5,16,15,5124
