ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,7,-	,Tottenham,-	,75.3	,-	,6.87,2019/2020,EPL,0.3	,-	,-	,548	
-	,2,-	,Tottenham,-	,85.7	,-	,5.42,2019/2020,UCL,-	,-	,-	,180	
-	,33,2	,Tottenham,-	,73.6	,-	,6.96,2018/2019,EPL,0.3	,-	,-	,2970	
-	,11,2	,Tottenham,1	,74	,-	,6.58,2018/2019,UCL,0.2	,-	,-	,979	
-	,2,-	,France,-	,73.3	,-	,7.42,2018/2019,UNL,0.5	,-	,-	,180	
-	,7,-	,Tottenham,-	,60.2	,-	,7.07,2017/2018,UCL,0.4	,-	,-	,630	
-	,36,1	,Tottenham,-	,75.2	,1	,6.74,2017/2018,EPL,0.3	,-	,-	,3240	
-	,6,-	,Tottenham,-	,74.5	,-	,7.11,2016/2017,UCL,0.2	,-	,-	,540	
-	,34,1	,Tottenham,-	,72.3	,-	,6.77,2016/2017,EPL,0.2	,-	,-	,3005	
-	,2,-	,Tottenham,-	,77.2	,-	,6.04,2016/2017,UEL,-	,-	,-	,180	
-	,6,-	,France,-	,58.2	,-	,6.60,2018,WC,0.2	,-	,-	,540	
-	,9,-	,Tottenham,-	,74.8	,-	,6.81,2015/2016,UEL,0.1	,-	,-	,810	
-	,37,-	,Tottenham,-	,63.8	,-	,6.75,2015/2016,EPL,0.1	,-	,-	,3330	
-	,6,-	,Tottenham,1	,74.9	,-	,6.79,2014/2015,UEL,0.3	,-	,-	,537	
-	,35,-	,Tottenham,-	,60.6	,-	,6.89,2014/2015,EPL,0.1	,-	,-	,3064	
-	,7,-	,France,-	,71.5	,-	,6.73,2016,UEC,0.3	,-	,-	,660	
-	,5,-	,Tottenham,-	,65.8	,-	,6.69,2013/2014,UEL,-	,-	,-	,450	
-	,37,1	,Tottenham,-	,45.3	,2	,6.72,2013/2014,EPL,0.2	,-	,-	,3330	
-	,5,-	,France,-	,66.4	,-	,6.83,2014,WC,-	,-	,-	,450	
-	,5,1	,Tottenham,-	,58.7	,-	,6.56,2012/2013,UEL,-	,-	,-	,450	
-	,27,-	,Tottenham,-	,50.4	,-	,6.64,2012/2013,EPL,0.3	,-	,-	,2430	
-	,2,-	,Lyon,-	,72.4	,-	,7.18,2012/2013,FL1,-	,-	,-	,180	
-	,4,-	,France,-	,74.7	,-	,6.35,2012,UEC,-	,-	,-	,360	
-	,8,-	,Lyon,-	,55.9	,-	,7.30,2011/2012,UCL,0.1	,-	,-	,751	
-	,36,2	,Lyon,1	,55	,-	,6.90,2011/2012,FL1,0.1	,-	,-	,3195	
-	,8,-	,Lyon,-	,50.2	,-	,6.69,2010/2011,UCL,0.1	,-	,-	,720	
-	,37,2	,Lyon,-	,46.7	,-	,6.92,2010/2011,FL1,0.3	,-	,-	,3330	
-	,12,-	,Lyon,-	,32.4	,-	,7.04,2009/2010,UCL,0.1	,-	,-	,1080	
-	,36,1	,Lyon,-	,48.8	,1	,7.06,2009/2010,FL1,0.1	,-	,1	,3240	
0,462,13,,3,60.3,4,6.83,Total / Average,,0.2,0,1,41359
-	,7,-	,Tottenham,-	,75.3	,-	,6.87,2019/2020,EPL,0.3	,-	,-	,548	
-	,2,-	,Tottenham,-	,85.7	,-	,5.42,2019/2020,UCL,-	,-	,-	,180	
-	,33,2	,Tottenham,-	,73.6	,-	,6.96,2018/2019,EPL,0.3	,-	,-	,2970	
-	,11,2	,Tottenham,1	,74	,-	,6.58,2018/2019,UCL,0.2	,-	,-	,979	
-	,2,-	,France,-	,73.3	,-	,7.42,2018/2019,UNL,0.5	,-	,-	,180	
-	,7,-	,Tottenham,-	,60.2	,-	,7.07,2017/2018,UCL,0.4	,-	,-	,630	
-	,36,1	,Tottenham,-	,75.2	,1	,6.74,2017/2018,EPL,0.3	,-	,-	,3240	
-	,6,-	,Tottenham,-	,74.5	,-	,7.11,2016/2017,UCL,0.2	,-	,-	,540	
-	,34,1	,Tottenham,-	,72.3	,-	,6.77,2016/2017,EPL,0.2	,-	,-	,3005	
-	,2,-	,Tottenham,-	,77.2	,-	,6.04,2016/2017,UEL,-	,-	,-	,180	
-	,6,-	,France,-	,58.2	,-	,6.60,2018,WC,0.2	,-	,-	,540	
-	,9,-	,Tottenham,-	,74.8	,-	,6.81,2015/2016,UEL,0.1	,-	,-	,810	
-	,37,-	,Tottenham,-	,63.8	,-	,6.75,2015/2016,EPL,0.1	,-	,-	,3330	
-	,6,-	,Tottenham,1	,74.9	,-	,6.79,2014/2015,UEL,0.3	,-	,-	,537	
-	,35,-	,Tottenham,-	,60.6	,-	,6.89,2014/2015,EPL,0.1	,-	,-	,3064	
-	,7,-	,France,-	,71.5	,-	,6.73,2016,UEC,0.3	,-	,-	,660	
-	,5,-	,Tottenham,-	,65.8	,-	,6.69,2013/2014,UEL,-	,-	,-	,450	
-	,37,1	,Tottenham,-	,45.3	,2	,6.72,2013/2014,EPL,0.2	,-	,-	,3330	
-	,5,-	,France,-	,66.4	,-	,6.83,2014,WC,-	,-	,-	,450	
-	,5,1	,Tottenham,-	,58.7	,-	,6.56,2012/2013,UEL,-	,-	,-	,450	
-	,27,-	,Tottenham,-	,50.4	,-	,6.64,2012/2013,EPL,0.3	,-	,-	,2430	
-	,2,-	,Lyon,-	,72.4	,-	,7.18,2012/2013,FL1,-	,-	,-	,180	
-	,4,-	,France,-	,74.7	,-	,6.35,2012,UEC,-	,-	,-	,360	
-	,8,-	,Lyon,-	,55.9	,-	,7.30,2011/2012,UCL,0.1	,-	,-	,751	
-	,36,2	,Lyon,1	,55	,-	,6.90,2011/2012,FL1,0.1	,-	,-	,3195	
-	,8,-	,Lyon,-	,50.2	,-	,6.69,2010/2011,UCL,0.1	,-	,-	,720	
-	,37,2	,Lyon,-	,46.7	,-	,6.92,2010/2011,FL1,0.3	,-	,-	,3330	
-	,12,-	,Lyon,-	,32.4	,-	,7.04,2009/2010,UCL,0.1	,-	,-	,1080	
-	,36,1	,Lyon,-	,48.8	,1	,7.06,2009/2010,FL1,0.1	,-	,1	,3240	
0,462,13,,3,60.3,4,6.83,Total / Average,,0.2,0,1,41359
