ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.1	,6(2),-	,Manchester Ci..,-	,90.5	,1	,6.57,2019/2020,EPL,0.3	,-	,-	,507	
3.5	,2,-	,Manchester Ci..,-	,92.3	,-	,7.92,2019/2020,UCL,1	,1	,-	,180	
1.4	,23(8),2	,Manchester Ci..,-	,90.8	,3	,7.10,2018/2019,EPL,0.8	,6	,3	,2136	
1.1	,7(1),-	,Manchester Ci..,-	,92.2	,-	,6.94,2018/2019,UCL,0.9	,-	,1	,590	
2	,0(1),-	,Germany,-	,85.2	,-	,6.21,2018/2019,UNL,-	,-	,-	,24	
1.4	,6(3),1	,Manchester Ci..,-	,90.9	,2	,7.07,2017/2018,UCL,0.1	,2	,2	,503	
1.2	,15(15),-	,Manchester Ci..,-	,91.7	,3	,6.73,2017/2018,EPL,0.1	,4	,1	,1510	
2	,6,2	,Manchester Ci..,-	,90.7	,1	,7.40,2016/2017,UCL,-	,2	,-	,520	
1.6	,9(1),-	,Manchester Ci..,-	,91.9	,-	,7.07,2016/2017,EPL,0.2	,3	,1	,710	
1	,0(1),-	,Germany,-	,92.6	,-	,6.53,2018,WC,-	,-	,-	,59	
2	,22(3),1	,Borussia Dort..,-	,87.9	,1	,7.43,2015/2016,GB,0.8	,1	,3	,1994	
1.2	,4(2),1	,Borussia Dort..,-	,88.1	,1	,6.91,2015/2016,UEL,0.5	,-	,-	,325	
1.7	,22(1),-	,Borussia Dort..,-	,85.5	,2	,7.16,2014/2015,GB,0.9	,3	,4	,1911	
0.5	,4(2),-	,Borussia Dort..,-	,90.8	,-	,6.88,2014/2015,UCL,0.3	,-	,1	,384	
-	,1,-	,Borussia Dort..,-	,77.8	,-	,6.74,2013/2014,GB,2	,-	,-	,57	
1.3	,26(2),-	,Borussia Dort..,-	,86.6	,4	,7.35,2012/2013,GB,0.6	,3	,3	,2128	
1	,11(1),-	,Borussia Dort..,-	,85.8	,2	,7.08,2012/2013,UCL,0.3	,1	,-	,983	
1.3	,22(6),4	,Borussia Dort..,-	,84.8	,2	,7.56,2011/2012,GB,0.5	,3	,3	,1920	
0.5	,2,-	,Borussia Dort..,-	,88	,-	,6.53,2011/2012,UCL,0.5	,-	,-	,146	
1.5	,21(4),2	,Nuernberg,-	,80.9	,2	,6.86,2010/2011,GB,0.3	,5	,2	,1833	
1.2	,19(3),-	,Nuernberg,-	,78.6	,2	,6.73,2009/2010,GB,0.2	,1	,2	,1615	
1.4,284,13,,0,87.1,26,7.09,Total / Average,,0.5,35,26,20035
1.1	,6(2),-	,Manchester Ci..,-	,90.5	,1	,6.57,2019/2020,EPL,0.3	,-	,-	,507	
3.5	,2,-	,Manchester Ci..,-	,92.3	,-	,7.92,2019/2020,UCL,1	,1	,-	,180	
1.4	,23(8),2	,Manchester Ci..,-	,90.8	,3	,7.10,2018/2019,EPL,0.8	,6	,3	,2136	
1.1	,7(1),-	,Manchester Ci..,-	,92.2	,-	,6.94,2018/2019,UCL,0.9	,-	,1	,590	
2	,0(1),-	,Germany,-	,85.2	,-	,6.21,2018/2019,UNL,-	,-	,-	,24	
1.4	,6(3),1	,Manchester Ci..,-	,90.9	,2	,7.07,2017/2018,UCL,0.1	,2	,2	,503	
1.2	,15(15),-	,Manchester Ci..,-	,91.7	,3	,6.73,2017/2018,EPL,0.1	,4	,1	,1510	
2	,6,2	,Manchester Ci..,-	,90.7	,1	,7.40,2016/2017,UCL,-	,2	,-	,520	
1.6	,9(1),-	,Manchester Ci..,-	,91.9	,-	,7.07,2016/2017,EPL,0.2	,3	,1	,710	
1	,0(1),-	,Germany,-	,92.6	,-	,6.53,2018,WC,-	,-	,-	,59	
2	,22(3),1	,Borussia Dort..,-	,87.9	,1	,7.43,2015/2016,GB,0.8	,1	,3	,1994	
1.2	,4(2),1	,Borussia Dort..,-	,88.1	,1	,6.91,2015/2016,UEL,0.5	,-	,-	,325	
1.7	,22(1),-	,Borussia Dort..,-	,85.5	,2	,7.16,2014/2015,GB,0.9	,3	,4	,1911	
0.5	,4(2),-	,Borussia Dort..,-	,90.8	,-	,6.88,2014/2015,UCL,0.3	,-	,1	,384	
-	,1,-	,Borussia Dort..,-	,77.8	,-	,6.74,2013/2014,GB,2	,-	,-	,57	
1.3	,26(2),-	,Borussia Dort..,-	,86.6	,4	,7.35,2012/2013,GB,0.6	,3	,3	,2128	
1	,11(1),-	,Borussia Dort..,-	,85.8	,2	,7.08,2012/2013,UCL,0.3	,1	,-	,983	
1.3	,22(6),4	,Borussia Dort..,-	,84.8	,2	,7.56,2011/2012,GB,0.5	,3	,3	,1920	
0.5	,2,-	,Borussia Dort..,-	,88	,-	,6.53,2011/2012,UCL,0.5	,-	,-	,146	
1.5	,21(4),2	,Nuernberg,-	,80.9	,2	,6.86,2010/2011,GB,0.3	,5	,2	,1833	
1.2	,19(3),-	,Nuernberg,-	,78.6	,2	,6.73,2009/2010,GB,0.2	,1	,2	,1615	
1.4,284,13,,0,87.1,26,7.09,Total / Average,,0.5,35,26,20035
